Player,Current  Cap Hit,Current  Salary,Contract  Length,Current  Cap %,Age,Height,Weight,Pos,Shoots,UFA Year,Contract Type,Signing Status,Expiry Status,Start Yr,Expiry Yr,Agent
Simon Holmstrom,"$863,334","$832,500",3,1%,22,73in,203lbs,RW,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,J.P. Barry
Lassi Thomson,"$863,334","$832,500",3,1%,23,72in,190lbs,D,R,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Craig Oster
Samuel Poulin,"$863,334","$832,500",3,1%,23,74in,214lbs,RW,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Pat Brisson
Peyton Krebs,"$863,334","$832,500",3,1%,23,72in,187lbs,C,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Kevin Epp
Ville Heinola,"$863,334","$832,500",3,1%,23,72in,181lbs,D,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Allain Roy
Jakob Pelletier,"$863,334","$832,500",3,1%,23,69in,170lbs,LW,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Olivier Fortier
Ryan Suzuki,"$863,334","$832,500",3,1%,22,73in,190lbs,C,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,David Gagner
Victor Soderstrom,"$863,334","$832,500",3,1%,23,72in,196lbs,D,R,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Darren Ferris
Connor McMichael,"$863,334","$832,500",3,1%,23,72in,187lbs,C,L,2028,Entry Level,No Signing Status,RFA,2021,2023-24,David Gagner
Mattias Norlinder,"$859,167","$892,500",3,1%,24,73in,194lbs,D,L,2027,Entry Level,No Signing Status,RFA +arb,2021,2023-24,J.P. Barry
John St. Ivany,"$857,500","$870,000",2,1%,24,75in,201lbs,D,R,2027,Entry Level,No Signing Status,RFA +arb,2022,2023-24,Pat Brisson
Felix Robert,"$857,500","$870,000",2,1%,24,69in,180lbs,C,R,2027,Entry Level,No Signing Status,RFA,2022,2023-24,Olivier Fortier
Cole Schwindt,"$855,833","$832,500",3,1%,22,75in,194lbs,C,R,2028,Entry Level,No Signing Status,RFA,2021,2023-24,Patrick Morris
