Player,Team,Current  Cap Hit,Current  Salary,Contract  Length,Current  Cap %,UFA Year,Contract Type,Expiry Status,Expiry Yr,Agent
Lucas Johansen,WSH,"$762,500","$775,000",2.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Kurt Overhardt
Ryan Lindgren,NYR,"$3,000,000","$4,000,000",3.0,3.6%,2025.0,Standard,RFA +arb,2023-24,Wade Arnott
Carl Grundstrom,L.A,"$1,300,000","$1,300,000",2.0,1.6%,2025.0,Standard,RFA +arb,2023-24,J.P. Barry
Dillon Dube,CGY,"$2,300,000","$2,400,000",3.0,2.8%,2026.0,Standard,RFA +arb,2023-24,Dave Cowan
Kale Clague,BUF,"$775,000","$775,000",1.0,0.9%,2025.0,Standard,RFA +arb,2023-24,Judd Moldaver
Sam Steel,DAL,"$850,000","$850,000",1.0,1%,2025.0,Standard,RFA +arb,2023-24,Gerry Johannson
Beck Malenstyn,WSH,"$762,500","$775,000",2.0,0.9%,2025.0,Standard,RFA +arb,2023-24,J.P. Barry
Riley Tufte,COL,"$775,000","$775,000",1.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Ben Hankinson
Riley Tufte,COL,"$775,000","$775,000",1.0,0.9%,2025.0,Standard,UFA-Group6,2023-24,Ben Hankinson
Max Jones,ANA,"$1,295,000","$1,500,000",3.0,1.6%,2025.0,Standard,RFA +arb,2023-24,Pat Brisson
Tyson Jost,BUF,"$2,000,000","$2,000,000",1.0,2.4%,2024.0,Standard,UFA,2023-24,J.P. Barry
Josh Mahura,FLA,"$925,000","$925,000",1.0,1.1%,2025.0,Standard,RFA +arb,2023-24,Gregory Landry
Victor Mete,PHI,"$775,000","$775,000",1.0,0.9%,2024.0,Standard,UFA,2023-24,Darren Ferris
Logan Stanley,WPG,"$1,000,000","$1,000,000",1.0,1.2%,2025.0,Standard,RFA +arb,2023-24,Andy Scott
Boris Katchouk,OTT,"$758,333","$775,000",3.0,0.9%,2025.0,Standard,RFA +arb,2023-24,Robert Hooper
Taylor Raddysh,CHI,"$758,333","$775,000",3.0,0.9%,2025.0,Standard,RFA +arb,2023-24,David Gagner
Noah Gregor,TOR,"$775,000","$775,000",1.0,0.9%,2026.0,Standard,RFA +arb,2023-24,Craig Oster
Jake Bean,CBJ,"$2,333,333","$2,900,000",3.0,2.8%,2025.0,Standard,RFA +arb,2023-24,Judd Moldaver
