Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Alex Pietrangelo,VGK,D,80,1596.75,9,18,11,7,27,33.33,178,5.06,9.41,367,245,99,11,4,18,38,14,13,0,1,7,44,73,61,187,117,0,0,-
Zach Bogosian,T.B,D,48,713.8,3,5,2,3,8,34.78,59,5.08,2.45,106,75,33,5,5,7,53,18,14,3,1,5,15,6,113,60,17,0,0,-
Luke Schenn,VAN,D,66,1007.2833333333,4,12,7,5,16,36.36,75,5.33,2.82,159,97,26,3,1,7,61,20,13,7,0,9,39,5,257,104,70,0,0,-
Josh Bailey,NYI,"C, R",74,1048.95,12,21,12,9,33,68.75,74,16.22,7.69,132,98,93,38,2,8,6,3,3,0,0,2,41,25,19,35,24,34,51,40.00
Tyler Myers,VAN,D,82,1564.9666666667,1,16,8,8,17,22.67,122,0.82,5.91,246,167,91,15,3,9,66,25,22,2,1,13,48,26,127,125,120,0,0,-
Erik Karlsson,S.J,D,50,951.2,10,15,7,8,25,51.02,98,10.20,5.16,203,140,70,11,9,7,14,7,7,0,0,11,55,48,16,63,10,0,0,-
Michael Del Zotto,OTT,D,26,426.01666666667,2,9,4,5,11,44.00,30,6.67,0.89,70,44,12,1,0,2,4,2,2,0,0,0,15,5,40,32,28,0,0,-
Jordan Eberle,SEA,"C, R",79,1192.2,17,18,10,8,35,67.31,141,12.06,13.75,253,193,160,69,10,8,12,6,6,0,0,7,30,47,44,78,37,6,13,31.58
Tyler Ennis,OTT,"C, R",57,618.75,7,13,10,3,20,86.96,75,9.33,6.06,131,102,80,33,3,9,12,6,6,0,0,11,18,16,65,58,23,17,9,65.38
John Carlson,WSH,D,78,1411.0333333333,10,33,17,16,43,51.19,150,6.67,8.97,287,209,82,19,4,24,14,6,6,0,0,10,44,29,66,95,87,0,0,-
Roman Josi,NSH,D,80,1712.5666666667,12,47,26,21,59,59.00,214,5.61,10.25,424,293,120,22,3,30,42,21,21,0,0,17,62,44,63,136,109,0,0,-
Justin Schultz,WSH,D,74,1142.25,2,16,10,6,18,40.91,78,2.56,4.63,181,117,71,13,2,11,12,6,6,0,0,2,22,12,39,94,77,0,0,-
