"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"643","Tim Gettinger","NYR","L","8","75.7","9.4625","31.7","50.73","38.46","26.95","38.04","41.46","18.23","26.16","41.07","0.79","0.79","50.00","1.29","2.13","37.74","15.85","22.19","41.67","7.13","13.47","34.62","0","0","-","11.62","11.62","50.00","0","1.06","0.00","21.75","30.91","41.30","1.14","0","100.00","4.35","96.97","1.013","5.55","7.93","4.76","68.16","53.85","10.3","11.1","11.1","48.15"
"639","Olli Juolevi","DET, FLA","D","18","229.56666666667","12.753703703704","62.99","50.7","55.40","47.57","42.34","52.91","35.81","33.72","51.50","2.35","2.61","47.37","3.08","2.73","52.95","32.93","27.97","54.08","15.94","13.59","53.98","1.83","1.83","50.00","22.65","19.17","54.17","0.35","0.7","33.33","37","30.96","54.44","0.38","0.38","50.00","6.57","92.25","0.988","9.41","15.16","7.32","52.53","56.25","19.34","20.65","15.42","55.64"
"127","Mike Hoffman","MTL","C","67","1141.8166666667","17.042039800995","59.33","50.66","53.94","43.14","36.63","54.08","32.32","26.43","55.01","2.89","3.21","47.41","2.97","2.86","50.88","28.32","27.69","50.56","10.56","11.67","47.52","1.47","1.79","45.16","23.68","21.37","52.57","1.12","0.98","53.33","41.37","26.11","61.30","0.83","0.53","61.11","8.94","87.87","0.968","12.56","12.3","7.46","39.57","62.73","25.01","17.76","16.45","60.33"
"412","Elias Lindholm","CGY","C","82","1635.9333333333","19.950406504065","69.06","50.65","57.69","53.07","39.35","57.42","38.77","28.46","57.67","5.46","2.57","68.04","4.25","2.75","60.74","38.14","25.31","60.12","15.66","9.79","61.53","2.82","1.21","70.00","29.98","20.69","59.17","2.15","1.17","64.71","41.59","33.16","55.63","1.06","0.48","68.97","14.10","90.98","1.051","13.72","10.93","15.44","36.09","47.04","27.4","15.48","25.31","51.98"
"333","Jaccob Slavin","CAR","D","79","1858.8666666667","23.529957805907","58.58","50.64","53.63","45.93","39.28","53.90","32.73","27.98","53.91","3.45","2.39","59.12","3.54","2.77","56.08","30.41","24.98","54.90","13.33","10.81","55.21","2.23","1.36","62.16","22.77","18.89","54.65","1.08","0.99","52.08","35.81","32.12","52.71","0.47","0.37","55.56","10.55","91.46","1.020","7.91","10.78","9.26","38.93","46.05","20.24","17.62","20.66","49.49"
"635","Tyler Benson","EDM","L","29","247.78333333333","8.5442528735632","57.87","50.61","53.35","42.38","38.99","52.08","31.72","30.75","50.78","1.45","2.66","35.29","2.13","2.41","46.93","22.76","25.91","46.77","8.23","9.69","45.95","1.21","1.45","45.45","19.37","21.63","47.24","0.32","0.97","25.00","44.07","31.13","58.60","0","0.7","0.00","4.58","91.34","0.959","7.51","12.11","5.57","54","57.41","13.32","16.22","13.56","49.55"
"760","Aleksi Heponiemi","FLA","C","6","84.166666666667","14.027777777778","64.16","50.61","55.90","50.61","39.21","56.35","37.78","32.79","53.54","0.71","4.28","14.29","2.97","2.65","52.85","35.64","27.8","56.18","14.26","11.41","55.56","0.71","1.43","33.33","28.51","21.86","56.60","0","2.85","0.00","39.13","30.89","55.88","0","1.03","0.00","1.89","86.96","0.888","8.55","12.12","7.84","52.04","52.17","22.81","17.82","17.11","57.14"
"151","Tomas Tatar","N.J","L","76","1127.1166666667","14.83048245614","62.76","50.57","55.38","46.63","38.75","54.61","33.32","28.8","53.64","2.5","3.19","43.93","2.91","2.54","53.43","32.63","25.55","56.08","11.66","8.94","56.59","1.17","1.01","53.66","27.97","22.15","55.81","1.35","1.85","42.22","45.9","35.06","56.70","0.38","0.92","29.41","7.51","88.91","0.964","11.29","14.59","6.18","53.77","64.63","22.52","19","14.27","61.22"
"204","Ryan Johansen","NSH","C","79","1308.6666666667","16.565400843882","66.98","50.57","56.98","50.85","37.82","57.34","35.67","28.29","55.77","5.13","3.12","62.22","3.83","2.81","57.67","33.47","25.31","56.94","12.01","8.99","57.21","2.84","1.6","63.92","28.61","21.76","56.80","1.77","0.86","67.44","45.03","31.52","58.82","1.26","0.66","65.52","14.40","88.98","1.034","16.37","11.6","8.85","39.48","64.91","32.55","18.25","18.11","64.25"
"561","Zach Senyshyn","OTT","R","2","13.05","6.525","18.39","50.57","26.67","18.39","22.99","44.44","9.2","13.79","40.00","0","4.6","0.00","0.32","1.11","22.14","4.6","32.18","12.50","0","4.6","0.00","0","4.6","0.00","6.13","36.78","14.29","0","0","-","13.28","26.56","33.33","0","0","-","0.00","66.67","0.667","4.6","13.79","13.79","59.77","25.00","4.6","13.79","22.99","16.67"
