Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Bowen Byram,COL,D,30,8.7333333333333,0,0,0,0,0,-,0,-,0.1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,-
Kaedan Korczak,VGK,D,1,1.1666666666667,0,0,0,0,0,0.00,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Dylan Cozens,BUF,C,79,38.333333333333,0,1,1,0,1,100.00,6,0.00,0.49,7,6,4,1,0,1,10,1,0,0,1,2,1,1,1,2,0,10,16,38.46
Alex Turcotte,L.A,C,8,0.85,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Trevor Zegras,ANA,C,75,4.2833333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Nils Hoglander,VAN,L,60,1.3666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Nikita Okhotiuk,N.J,D,5,1.25,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Cole Caufield,MTL,R,67,1.05,0,0,0,0,0,-,0,-,0.01,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-
Moritz Seider,DET,D,82,154.66666666667,0,2,1,1,2,66.67,3,0.00,0.14,6,5,1,0,0,0,2,1,1,0,0,0,5,4,15,5,31,0,0,-
Cam York,PHI,D,30,16.183333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,-
Adam Beckman,MIN,L,3,0.066666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Artemi Kniazev,S.J,D,1,0.58333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Kaapo Kakko,NYR,R,43,19.233333333333,0,0,0,0,0,-,1,0.00,0.05,3,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
Matt Boldy,MIN,L,47,0.46666666666667,0,0,0,0,0,-,0,-,0.03,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Jack Hughes,N.J,C,49,3.5333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,33.33
