Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Janne Kuokkanen,N.J,"C, L",57,11.416666666667,1,0,0,0,1,100.00,2,50.00,0.26,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0.00
Rem Pitlick,"MIN, MTL",C,66,94.433333333333,0,1,0,1,1,25.00,9,0.00,1.69,12,11,8,5,0,1,2,1,1,0,0,0,2,1,1,2,0,15,13,53.57
Fredrik Karlstrom,DAL,C,3,0.53333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Brandon Duhaime,MIN,R,80,2.9833333333333,0,0,0,0,0,0.00,1,0.00,0.07,1,1,1,1,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,-
Lucas Carlsson,FLA,D,40,3.3,0,0,0,0,0,0.00,2,0.00,0.12,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Ross Colton,T.B,C,79,110.43333333333,1,4,2,2,5,83.33,17,5.88,2.05,34,26,15,5,0,3,0,0,0,0,0,0,0,1,3,8,1,27,25,51.92
Otto Koivula,NYI,L,8,4.15,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00
Axel Jonsson-Fjallby,WSH,L,23,0.86666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Brandon Hagel,"CHI, T.B",L,77,112.28333333333,4,2,1,1,6,33.33,15,26.67,2.12,18,16,18,9,0,0,4,2,2,0,0,1,5,0,2,4,0,2,1,66.67
Michael Pezzetta,MTL,L,51,5.7666666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,-
Oskar Steen,BOS,C,20,5.35,0,0,0,0,0,-,0,-,0.08,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-
Maxim Mamin,FLA,C,40,4.7166666666667,0,0,0,0,0,0.00,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-
Mikhail Maltsev,COL,L,18,7.9,0,0,0,0,0,-,1,0.00,0.13,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0.00
Casey Fitzgerald,BUF,D,36,1.75,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Dylan Gambrell,OTT,C,63,5.1333333333333,0,0,0,0,0,-,2,0.00,0.24,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,33.33
Chase Priskie,FLA,D,4,0.93333333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Jeremy Davies,NSH,D,6,1.1833333333333,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Michael Carcone,ARI,L,21,5.8833333333333,0,0,0,0,0,-,3,0.00,0.41,3,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-
Dylan Coghlan,VGK,D,59,60.516666666667,2,2,0,2,4,66.67,17,11.76,1.34,33,24,10,1,0,1,0,0,0,0,0,1,2,0,3,6,0,0,0,-
Matt Luff,NSH,R,23,1.5166666666667,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Tanner Jeannot,NSH,L,81,41.166666666667,2,1,0,1,3,60.00,5,40.00,1.16,9,8,8,7,0,1,0,0,0,0,0,1,2,0,1,4,0,2,2,50.00
Mathieu Olivier,NSH,R,10,0.25,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Trevor Moore,L.A,C,81,83.766666666667,1,1,1,0,2,28.57,20,5.00,3.09,31,26,21,13,0,2,0,0,0,0,0,0,0,1,1,7,1,4,1,80.00
Jeffrey Viel,S.J,L,34,0.55,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-
Alex Barré-Boulet,"SEA, T.B",C,16,27.433333333333,0,1,1,0,1,50.00,4,0.00,0.54,6,5,5,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0,100.00
Zack MacEwen,PHI,C,75,11.2,0,0,0,0,0,-,0,-,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,33.33
Gerry Mayhew,"ANA, PHI",C,40,38.5,1,0,0,0,1,25.00,3,33.33,0.85,10,9,7,2,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0.00
Justin Danforth,CBJ,R,45,12.75,0,1,1,0,1,50.00,3,0.00,0.31,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,50.00
