"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"42","Anton Stralman","ARI","D","74","9.8","0.13243243243243","0","0","0","0","0","0.00","0","-","1.2","18.37","12.24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"31","Anze Kopitar","L.A","C","81","270.63333333333","3.3411522633745","1.33","3.55","1.77","1.77","4.88","75.86","12.42","10.71","1.22","25.05","16.63","11.09","2.22","0.22","2","0","0","0","0","0","0","0.89","0.89","0.22","1.33","0.22","35.03","22.39","13.52"
"901","Artem Zub","OTT","D","81","22.183333333333","0.2738683127572","0","0","0","0","0","-","10.82","0.00","0.65","18.93","10.82","5.41","2.7","0","0","0","0","0","0","0","0","0","0","0","2.7","0","0","0","-"
"540","Artemi Panarin","NYR","L","75","224.95","2.9993333333333","1.33","8.54","4","4.53","9.87","82.22","12","11.11","1.55","29.07","21.07","12.54","0.53","0.27","2.13","0","0","0","0","0","0","3.47","1.07","0.27","0.53","0","0","0","-"
"844","Arthur Kaliyev","L.A","R","80","154.8","1.935","2.33","1.16","1.16","0","3.49","60.00","17.05","13.64","1.59","28.68","23.26","13.18","2.33","0.39","3.1","0.78","0.39","0.39","0","0","0","0","0.78","1.16","1.16","0","0","0","-"
"861","Arttu Ruotsalainen","BUF","C","18","14.6","0.81111111111111","0","0","0","0","0","-","4.11","0.00","0.2","4.11","4.11","4.11","0","0","0","8.22","4.11","4.11","0","0","0","0","0","8.22","0","0","0","8.22","0.00"
"380","Artturi Lehkonen","COL, MTL","L","74","75.916666666667","1.0259009009009","1.58","0.79","0","0.79","2.37","37.50","9.48","16.67","1.51","18.97","14.23","16.6","4.74","0","0","0","0","0","0","0","0","1.58","0.79","0","1.58","0","0","0.79","0.00"
"536","Austin Czarnik","NYI, SEA","C","17","10.533333333333","0.61960784313725","0","0","0","0","0","0.00","0","-","0.22","5.7","5.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.7","0.00"
"453","Austin Poganski","WPG","R","16","0.55","0.034375","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109.09","0","0","0","-"
"756","Austin Strand","L.A","D","8","0.21666666666667","0.027083333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"190","Austin Watson","OTT","L","67","3.3833333333333","0.050497512437811","0","0","0","0","0","-","17.73","0.00","2.4","17.73","17.73","17.73","17.73","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"574","Auston Matthews","TOR","C","73","227.11666666667","3.1111872146119","4.23","3.43","2.11","1.32","7.66","63.04","19.81","21.33","2.7","34.87","28.27","19.02","4.23","0","1.85","0.53","0.26","0.26","0","0","0.26","1.32","0.79","0.26","1.59","0","5.55","4.49","14.60"
"643","Axel Jonsson-Fjallby","WSH","L","23","0.86666666666667","0.03768115942029","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"271","Barclay Goodrow","NYR","C","79","47.05","0.59556962025316","0","0","0","0","0","0.00","8.93","0.00","1.79","12.75","11.48","11.48","8.93","0","1.28","0","0","0","0","0","0","1.28","0","0","2.55","0","33.16","21.68","77.11"
"782","Barrett Hayton","ARI","C","60","92.45","1.5408333333333","1.3","1.95","0.65","1.3","3.24","62.50","6.49","20.00","1.3","11.03","9.73","8.44","5.19","0","1.3","1.3","0.65","0.65","0","0","1.3","1.95","0","2.6","2.6","0","31.15","24.01","36.65"
"161","Ben Chiarot","FLA, MTL","D","74","74.133333333333","1.0018018018018","1.62","0.81","0","0.81","2.43","75.00","4.05","40.00","0.23","9.71","4.05","1.62","0.81","0","0.81","1.62","0.81","0.81","0","0","0","0.81","0.81","1.62","1.62","3.24","0","0","-"
"331","Ben Hutton","VGK","D","58","1.5166666666667","0.026149425287356","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"741","Ben Jones","VGK","C","2","0.033333333333333","0.016666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"916","Ben Meyers","COL","C","5","1.05","0.21","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"788","Benoit-Olivier Groulx","ANA","C","18","1.3833333333333","0.076851851851852","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43.37","0.00"
"231","Blake Coleman","CGY","C","81","25.066666666667","0.30946502057613","0","0","0","0","0","-","4.79","0.00","1.94","11.97","9.57","9.57","9.57","0","2.39","0","0","0","0","0","0","2.39","2.39","2.39","9.57","0","0","2.39","0.00"
"24","Blake Comeau","DAL","L","6","0.05","0.0083333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"823","Blake Lizotte","L.A","C","70","9.3833333333333","0.13404761904762","0","0","0","0","0","-","6.39","0.00","0.72","6.39","6.39","6.39","6.39","0","0","0","0","0","0","0","0","0","0","6.39","0","0","70.34","44.76","390.76"
"22","Blake Wheeler","WPG","R","65","205.05","3.1546153846154","0.88","4.97","1.76","3.22","5.85","74.07","7.02","12.50","1.1","12.58","9.95","8.19","4.97","0.29","0.59","1.17","0.59","0.59","0","0","0","0.59","0.29","0.59","1.46","0","0.59","0.29","19.51"
"393","Bo Horvat","VAN","C","70","226.4","3.2342857142857","3.45","1.59","0.27","1.33","5.04","44.19","14.84","23.21","2.11","23.06","20.14","19.08","6.36","0","0.53","0","0","0","0","0","0","2.12","0.27","0.27","0.8","0","45.85","23.59","17.50"
"839","Bobby Brink","PHI","R","10","30.283333333333","3.0283333333333","0","1.98","0","1.98","1.98","100.00","3.96","0.00","0.35","5.94","5.94","5.94","0","0","0","0","0","0","0","0","0","0","0","3.96","1.98","0","0","0","-"
"475","Bokondji Imama","ARI","L","4","0.63333333333333","0.15833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"238","Boone Jenner","CBJ","C","59","176","2.9830508474576","2.73","0.68","0.34","0.34","3.41","43.48","10.91","25.00","2.16","15.34","13.64","12.95","10.91","0","0.68","1.36","0.68","0.68","0","0","0","1.36","0","0.34","2.73","0.68","34.43","28.98","18.51"
"613","Boris Katchouk","CHI, T.B","L","59","2.2166666666667","0.037570621468927","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","27.07","0","0","0","0","0","0","0","-"
"829","Bowen Byram","COL","D","30","29.366666666667","0.97888888888889","2.04","0","0","0","2.04","100.00","8.17","25.00","0.68","16.35","14.3","2.04","0","0","2.04","0","0","0","0","0","0","0","0","2.04","6.13","0","0","0","-"
"272","Brad Hunt","VAN","D","50","54.65","1.093","0","2.2","2.2","0","2.2","50.00","7.69","0.00","0.6","13.17","9.88","4.39","0","0","1.1","0","0","0","0","0","0","0","1.1","0","3.29","3.29","0","0","-"
"75","Brad Malone","EDM","C","8","0.36666666666667","0.045833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"45","Brad Marchand","BOS","L","70","239.15","3.4164285714286","1.76","5.02","3.01","2.01","6.77","69.23","13.8","12.73","1.41","24.59","17.81","12.29","2.01","0","1.25","1","0.5","0.5","0","0","0.25","2.26","0","1.25","3.51","0","1","1.51","10.04"
"15","Brad Richardson","CGY, VAN","R","44","2.2","0.05","0","0","0","0","0","-","0","-","3.39","27.27","27.27","27.27","27.27","0","0","0","0","0","0","0","0","0","0","0","0","0","54.55","0","2727.27"
"877","Braden Schneider","NYR","D","43","4.0166666666667","0.093410852713178","0","14.94","0","14.94","14.94","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"283","Brady Skjei","CAR","D","82","10.8","0.13170731707317","0","0","0","0","0","-","11.11","0.00","0.45","11.11","11.11","0","0","0","5.56","0","0","0","0","0","0","0","5.56","0","0","0","0","0","-"
"765","Brady Tkachuk","OTT","L","79","251.53333333333","3.1839662447257","2.15","1.91","1.67","0.24","4.06","45.95","20.75","10.34","3.37","28.39","25.28","24.57","17.65","0.24","3.1","2.62","0.95","0.72","0.24","0","0.72","2.86","0","1.67","3.82","0.72","29.34","26","12.65"
"404","Brandon Baddock","MTL","L","1","0.86666666666667","0.86666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69.23","0","0","0","0","-"
"873","Brandon Biro","BUF","L","1","1.7833333333333","1.7833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33.64","0","0","0","-"
"508","Brandon Carlo","BOS","D","79","5.0333333333333","0.063713080168776","0","11.92","11.92","0","11.92","100.00","0","-","0","0","0","0","0","0","0","23.84","11.92","11.92","0","0","0","0","0","0","0","0","0","0","-"
"639","Brandon Duhaime","MIN","R","80","2.9833333333333","0.037291666666667","0","0","0","0","0","0.00","20.11","0.00","1.46","20.11","20.11","20.11","20.11","0","0","40.22","20.11","20.11","0","0","20.11","0","0","20.11","0","0","0","0","-"
"644","Brandon Hagel","CHI, T.B","L","77","112.28333333333","1.4582251082251","2.14","1.07","0.53","0.53","3.21","33.33","8.02","26.67","1.13","9.62","8.55","9.62","4.81","0","0","2.14","1.07","1.07","0","0","0.53","2.67","0","1.07","2.14","0","1.07","0.53","35.62"
"442","Brandon Montour","FLA","D","81","112.18333333333","1.3849794238683","0.53","3.74","1.6","2.14","4.28","61.54","7.49","7.14","0.53","13.91","10.7","2.14","0","0","1.07","0","0","0","0","0","0","1.07","0.53","0","0.53","0.53","0","0","-"
