"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"416","Bo Horvat","VAN","C","70","1363.6166666667","31","21","12","9","52","54.74","195","15.90","23.29","304","261","205","83","11","11","40","20","20","0","0","14","25","32","96","57","45","841","634","57.02"
"417","Valeri Nichushkin","COL","R","62","1179.6166666667","25","27","14","13","52","57.14","180","13.89","21.23","264","227","195","107","13","13","14","7","7","0","0","13","24","38","89","73","26","0","5","0.00"
"534","Travis Konecny","PHI","C, R","79","1391.4833333333","16","36","27","9","52","72.22","220","7.27","22.06","382","297","215","86","8","30","77","24","20","1","3","31","28","22","80","120","32","13","18","41.94"
"585","Conor Garland","VAN","R","77","1261.7666666667","19","33","22","11","52","72.22","203","9.36","19.41","331","266","193","67","8","22","36","14","13","0","1","33","36","50","52","113","21","5","5","50.00"
"234","Vincent Trocheck","CAR","C","81","1447.7833333333","21","30","16","14","51","53.68","168","12.50","23.88","300","254","212","116","13","20","78","32","29","2","1","28","42","50","185","123","38","680","565","54.62"
"276","Phillip Danault","L.A","C, L","79","1431.9333333333","27","24","14","10","51","62.96","194","13.92","25.1","299","260","209","118","5","27","38","16","14","2","0","16","29","22","74","101","24","676","586","53.57"
"318","Shayne Gostisbehere","ARI","D","82","1819.5166666667","14","37","16","21","51","57.95","151","9.27","8.22","314","216","88","12","7","16","26","13","13","0","0","21","78","44","60","76","104","0","0","-"
"348","Alexander Kerfoot","TOR","C","82","1247.6","13","38","21","17","51","69.86","117","11.11","12.5","193","159","131","63","11","11","20","10","10","0","0","23","40","36","75","159","60","76","102","42.70"
"411","Seth Jones","CHI","D","78","2044.3666666667","5","46","18","28","51","53.68","194","2.58","9.46","365","255","106","29","7","13","28","14","14","0","0","12","71","34","99","148","145","0","0","-"
"456","Tony DeAngelo","CAR","D","64","1267.0333333333","10","41","21","20","51","48.57","151","6.62","7.16","264","191","79","6","5","13","56","17","13","2","2","13","39","27","41","70","54","0","0","-"
"854","Noah Dobson","NYI","D","80","1716.7333333333","13","38","21","17","51","54.26","190","6.84","8.54","401","269","101","14","6","23","18","9","9","0","0","20","82","27","78","134","146","0","0","-"
"121","Cam Atkinson","PHI","R","73","1331.9333333333","23","27","20","7","50","67.57","215","10.70","23.04","331","273","197","98","16","29","10","5","5","0","0","6","28","37","20","38","42","5","12","29.41"
"259","Ryan Nugent-Hopkins","EDM","C","63","1217.05","11","39","22","17","50","54.35","154","7.14","15.19","231","184","152","59","12","15","16","8","8","0","0","9","34","43","42","64","32","178","259","40.73"
"460","Jared McCann","SEA","C, L","74","1193.9666666667","27","23","12","11","50","80.65","199","13.57","20.66","353","287","187","70","3","19","33","10","8","1","1","21","37","43","65","77","26","224","268","45.53"
"511","Rasmus Andersson","CGY","D","82","1858.65","4","46","21","25","50","36.76","152","2.63","8.29","289","214","73","13","3","18","28","14","14","0","0","17","44","24","63","109","111","0","0","-"
"912","Moritz Seider","DET","D","82","1889.3666666667","7","43","20","23","50","44.64","187","3.74","9.81","355","246","84","7","2","24","34","17","17","0","0","19","48","41","151","116","146","0","0","-"
"180","Tyler Toffoli","CGY, MTL","C, R","74","1206.4666666667","20","29","17","12","49","65.33","195","10.26","21.69","329","258","177","77","12","15","14","7","7","0","0","12","35","27","81","48","22","18","16","52.94"
"205","Tyler Seguin","DAL","C","81","1442.8666666667","24","25","17","8","49","59.76","218","11.01","19.61","345","280","194","84","11","17","30","15","15","0","0","15","48","26","96","42","32","464","364","56.04"
"223","Ondrej Palat","T.B","L","77","1268.95","18","31","18","13","49","56.98","143","12.59","16.57","248","197","174","75","6","18","20","10","10","0","0","11","25","30","124","133","25","2","16","11.11"
"252","Brandon Saad","STL","L","78","1269.1166666667","24","25","17","8","49","59.04","158","15.19","20.85","236","198","174","78","9","17","10","5","5","0","0","10","25","45","20","51","20","8","11","42.11"
"443","Sam Bennett","FLA","C","71","1203.4666666667","28","21","15","6","49","56.98","241","11.62","25.04","398","292","259","111","11","29","74","34","32","2","0","26","49","41","119","104","26","411","466","46.86"
"481","Viktor Arvidsson","L.A","L","66","1120.6333333333","20","29","17","12","49","72.06","227","8.81","23.68","412","324","238","86","6","26","22","11","11","0","0","16","16","24","23","116","20","12","21","36.36"
"497","Victor Olofsson","BUF","L","72","1104.4166666667","20","29","18","11","49","72.06","164","12.20","13.57","293","223","139","39","11","23","6","3","3","0","0","4","17","18","10","46","14","0","1","0.00"
"564","Joel Eriksson Ek","MIN","C","77","1430.5333333333","26","23","11","12","49","50.52","224","11.61","23.81","331","277","210","126","11","24","28","14","14","0","0","27","12","30","138","125","39","697","768","47.58"
"289","Yanni Gourde","SEA","C","74","1367.6","21","27","20","7","48","72.73","128","16.41","14.62","246","186","136","68","10","11","45","18","15","3","0","22","38","54","77","98","29","444","453","49.50"
"510","Noah Hanifin","CGY","D","81","1725.9","10","38","12","26","48","43.24","189","5.29","9.34","397","281","107","22","6","27","19","8","7","1","0","9","62","38","63","87","74","0","0","-"
"535","Dylan Strome","CHI","C","69","1203.4","22","26","12","14","48","64.86","126","17.46","13.43","183","156","141","82","3","8","28","13","13","0","0","11","22","47","11","65","31","460","419","52.33"
"547","Zach Werenski","CBJ","D","68","1745.3166666667","11","37","22","15","48","45.28","216","5.09","13.26","428","313","135","27","6","20","22","11","11","0","0","8","39","39","33","69","90","0","0","-"
"710","Trevor Moore","L.A","C","81","1270.6833333333","17","31","20","11","48","70.59","202","8.42","26.06","341","285","192","108","16","30","20","10","10","0","0","19","17","30","69","132","10","28","39","41.79"
"188","Justin Faulk","STL","D","76","1762.3","16","31","8","23","47","38.84","167","9.58","9.62","318","219","104","21","11","13","43","16","14","1","1","8","40","37","149","75","89","0","0","-"
"216","John Klingberg","DAL","D","74","1642.95","6","41","24","17","47","47.00","139","4.32","9.25","362","210","107","10","3","22","34","17","17","0","0","13","86","16","57","170","75","0","0","-"
"603","Mason Marchment","FLA","L","54","761.93333333333","18","29","15","14","47","77.05","121","14.88","17.34","207","164","129","69","9","17","53","21","19","1","1","25","17","25","114","128","9","11","29","27.50"
"63","Jamie Benn","DAL","L","82","1372.8333333333","18","28","14","14","46","68.66","182","9.89","22.96","317","250","200","94","9","25","88","33","28","4","1","21","47","37","143","63","55","492","399","55.22"
"167","Anders Lee","NYI","C, L","76","1264.0166666667","28","18","11","7","46","52.87","159","17.61","24.17","266","228","205","128","7","24","34","17","17","0","0","14","25","16","94","64","30","65","69","48.51"
"326","Damon Severson","N.J","D","80","1888.35","11","35","18","17","46","51.11","158","6.96","10.31","312","224","89","17","12","17","57","27","26","1","0","7","63","38","91","97","51","0","0","-"
"538","Brock Boeser","VAN","R","71","1318.65","23","23","10","13","46","55.42","195","11.79","24.94","391","285","227","88","7","24","20","10","10","0","0","11","21","33","35","32","26","27","26","50.94"
"880","Yegor Sharangovich","N.J","C","76","1253.8166666667","24","22","13","9","46","64.79","168","14.29","18.01","294","238","178","77","18","12","23","6","4","1","1","10","44","48","30","70","14","89","131","40.45"
"6","Jeff Carter","PIT","C","76","1342.9833333333","19","26","15","11","45","64.29","200","9.50","20.49","315","245","176","93","14","27","38","18","18","0","0","12","39","33","99","72","48","648","489","56.99"
"28","Paul Stastny","WPG","C","71","1262.6","21","24","14","10","45","55.56","141","14.89","19.88","196","172","161","113","9","16","14","7","7","0","0","7","21","38","27","36","24","267","205","56.57"
"49","Kyle Okposo","BUF","R","74","1242.1666666667","21","24","8","16","45","76.27","174","12.07","14.88","304","241","172","66","7","14","43","19","18","1","0","14","35","24","59","75","19","92","93","49.73"
"546","Jack Roslovic","CBJ","C","81","1156.7833333333","22","23","14","9","45","70.31","131","16.79","12.16","219","182","126","50","5","13","12","6","6","0","0","6","35","32","60","80","25","372","483","43.51"
"97","Alex Pietrangelo","VGK","D","80","1971.5833333333","13","31","17","14","44","42.31","227","5.73","12.58","456","311","121","11","5","26","42","16","15","0","1","8","56","93","66","197","153","0","0","-"
"100","Josh Bailey","NYI","C, R","74","1249.9666666667","14","30","18","12","44","67.69","87","16.09","9.74","156","115","111","46","2","12","6","3","3","0","0","2","43","31","19","40","26","43","67","39.09"
"104","Jordan Eberle","SEA","C, R","79","1418.2333333333","21","23","13","10","44","62.86","164","12.80","18.86","310","239","200","90","10","13","14","7","7","0","0","7","34","50","48","85","38","6","14","30.00"
"166","Erik Haula","BOS","L","78","1177.4","18","26","14","12","44","72.13","141","12.77","14.16","217","184","137","67","10","6","47","21","20","1","0","16","21","25","129","70","34","434","372","53.85"
"184","Charlie Coyle","BOS","C","82","1426.8166666667","16","28","16","12","44","60.27","131","12.21","16.62","214","185","125","61","6","25","32","12","11","0","1","14","42","39","84","70","38","540","560","49.09"
"209","Nino Niederreiter","CAR","R","75","1112.9833333333","24","20","11","9","44","57.89","144","16.67","22.4","243","206","167","101","7","27","34","13","12","0","1","18","51","21","119","134","14","19","20","48.72"
