"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"749","Quinton Byfield","L.A","C, R","79","181.65","5","7","3","4","12","38.71","30","16.67","7.46","50","42","39","35","0","11","8","4","4","0","0","3","0","1","0","12","0","7","10","41.18"
"787","Matty Beniers","SEA","C","76","190.38333333333","5","7","3","4","12","66.67","22","22.73","3.86","59","36","34","13","1","5","4","2","2","0","0","1","4","2","1","6","0","62","60","50.82"
"792","Dylan Guenther","ARI","R","44","129.38333333333","8","4","3","1","12","63.16","29","27.59","3.89","55","48","32","4","1","3","2","1","1","0","0","0","1","1","3","8","0","0","2","0.00"
"16","T.J. Oshie","WSH","R","52","151.76666666667","7","4","1","3","11","68.75","31","22.58","8.89","62","55","57","30","0","10","14","3","2","0","1","1","2","1","1","8","0","3","10","23.08"
"36","Kevin Shattenkirk","BOS","D","61","87.883333333333","2","9","8","1","11","73.33","14","14.29","0.78","24","16","8","0","0","3","0","0","0","0","0","0","0","2","0","0","2","0","0","-"
"48","Max Pacioretty","WSH","L","47","96.8","2","9","5","4","11","73.33","19","10.53","2.78","37","28","24","11","1","4","2","1","1","0","0","0","4","0","1","7","0","0","2","0.00"
"81","Oliver Ekman-Larsson","FLA","D","80","155.86666666667","1","10","6","4","11","50.00","23","4.35","1.72","64","36","20","1","0","7","0","0","0","0","0","0","4","1","3","1","1","0","0","-"
"115","Charlie Coyle","BOS","C","82","150.65","7","4","0","4","11","55.00","29","24.14","5.45","42","39","39","29","0","0","2","1","1","0","0","0","2","0","6","3","0","71","55","56.35"
"179","Stefan Noesen","CAR","R","81","128.2","3","8","4","4","11","55.00","19","15.79","4.95","36","33","28","22","0","5","2","1","1","0","0","1","2","1","4","2","2","6","7","46.15"
"203","Tomas Hertl","S.J, VGK","C","53","152.93333333333","6","5","2","3","11","64.71","25","24.00","4.91","40","33","30","19","0","5","10","1","0","0","1","0","2","0","0","3","1","96","54","64.00"
