"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"131","Zach Hyman","EDM","L","79","1278.9","39","18","8","10","57","54.81","224","17.41","35.37","394","315","287","179","12","43","34","17","17","0","0","19","16","34","70","136","36","7","9","43.75"
"418","Mitchell Marner","TOR","R","68","1089.8","17","40","25","15","57","77.03","113","15.04","12.57","287","191","149","51","7","19","10","5","5","0","0","12","50","49","48","57","41","4","8","33.33"
"554","Elias Pettersson","VAN","C","81","1173.7833333333","21","35","23","12","56","66.67","128","16.41","18.16","254","188","150","67","11","21","8","4","4","0","0","24","18","40","98","103","59","355","347","50.57"
"768","Lucas Raymond","DET","L","82","1222.9666666667","25","31","19","12","56","76.71","128","19.53","14.67","239","178","136","66","11","19","24","12","12","0","0","40","24","48","56","113","26","4","4","50.00"
"261","Jake Guentzel","CAR, PIT","C, L","67","1085.8333333333","25","30","23","7","55","67.07","177","14.12","26.58","319","253","221","108","7","42","18","9","9","0","0","23","20","30","41","80","28","6","16","27.27"
"317","Sam Reinhart","FLA","C","82","1177.85","25","30","19","11","55","72.37","138","18.12","18.64","267","213","148","67","8","27","23","8","7","1","0","8","30","28","65","109","55","166","204","44.86"
"392","Sebastian Aho","CAR","C","78","1165.1166666667","24","31","21","10","55","68.75","146","16.44","18.09","290","229","150","67","10","21","26","12","12","0","0","14","46","40","43","60","15","413","391","51.37"
"401","Mathew Barzal","NYI","C","80","1359.0166666667","18","37","31","6","55","72.37","196","9.18","18.37","341","265","164","75","16","33","22","11","11","0","0","26","74","83","47","43","50","49","65","42.98"
"438","Kirill Kaprizov","MIN","L","74","1283.5166666667","27","28","18","10","55","64.71","180","15.00","19.33","374","264","199","91","13","32","30","14","14","0","0","24","62","35","49","65","36","0","1","0.00"
"454","Matthew Tkachuk","FLA","L","80","1141.5333333333","19","36","26","10","55","72.37","173","10.98","18.9","330","249","173","94","5","36","84","31","27","2","2","48","49","37","134","63","28","2","4","33.33"
"494","Jesper Bratt","N.J","L","82","1225.7833333333","20","35","26","9","55","66.27","196","10.20","21.16","350","275","220","100","20","33","6","3","3","0","0","16","39","32","43","57","30","8","11","42.11"
"559","Robert Thomas","STL","C","81","1289.2666666667","16","39","24","15","55","71.43","109","14.68","15.47","208","159","142","65","6","14","40","16","15","0","1","15","41","56","14","61","42","648","558","53.73"
"175","Mark Scheifele","WPG","C","74","1257.7","19","35","23","12","54","69.23","119","15.97","17.17","213","172","150","75","4","11","53","18","14","3","1","27","29","44","54","125","40","516","558","48.04"
"322","Nikolaj Ehlers","WPG","L","81","1105.4","25","29","19","10","54","76.06","202","12.38","17.02","408","288","158","52","10","26","29","12","11","1","0","21","41","37","27","69","37","4","8","33.33"
"620","Quinn Hughes","VAN","D","81","1634.1833333333","12","42","18","24","54","50.47","150","8.00","7.88","407","223","120","9","8","43","32","16","16","0","0","13","46","36","23","104","49","0","0","-"
"83","Nazem Kadri","CGY","C","81","1229.5166666667","19","34","21","13","53","75.71","208","9.13","19.72","397","292","188","74","16","35","37","16","15","1","0","42","56","48","46","117","21","474","515","47.93"
"157","Vincent Trocheck","NYR","C","82","1343.35","13","39","27","12","52","60.47","148","8.78","19.18","317","252","196","87","4","33","45","21","20","1","0","22","30","39","142","105","76","641","470","57.70"
"188","Jonathan Marchessault","VGK","R","81","1158.5833333333","34","18","14","4","52","80.00","183","18.58","19.54","327","246","150","59","18","30","34","17","17","0","0","9","30","46","86","68","22","4","16","20.00"
"561","Jason Robertson","DAL","L","81","1253.9333333333","20","32","20","12","52","66.67","175","11.43","16.61","362","253","163","62","14","33","20","10","10","0","0","15","39","55","69","96","30","0","0","-"
"621","Brady Tkachuk","OTT","L","81","1266.0833333333","25","27","22","5","52","72.22","272","9.19","27.93","439","364","246","110","19","60","122","36","26","6","4","45","38","45","261","82","34","95","102","48.22"
"849","Wyatt Johnston","DAL","C","81","1116.5666666667","26","26","20","6","52","85.25","180","14.44","22.41","333","254","213","99","11","38","32","16","16","0","0","18","28","30","45","86","38","277","277","50.00"
"61","Roman Josi","NSH","D","82","1662.2333333333","14","37","23","14","51","51.52","208","6.73","10.65","461","292","156","19","8","46","43","20","19","1","0","15","51","30","40","99","143","0","0","-"
"264","Carter Verhaeghe","FLA","C","76","1115.6666666667","26","25","17","8","51","71.83","197","13.20","22.84","393","270","216","86","14","31","30","15","15","0","0","9","34","39","57","111","19","31","41","43.06"
"397","Travis Konecny","PHI","R","76","1161.2666666667","22","29","20","9","51","75.00","180","12.22","16.81","368","270","163","65","13","31","55","18","15","1","2","21","24","42","69","68","28","34","49","40.96"
"781","Alexis Lafrenière","NYR","L","82","1307.2333333333","26","25","18","7","51","65.38","192","13.54","21.14","356","282","231","104","13","24","36","14","13","0","1","25","23","45","54","112","21","16","49","24.62"
"297","Josh Morrissey","WPG","D","81","1683.6","8","42","23","19","50","50.00","158","5.06","8.61","346","235","101","17","4","16","44","22","22","0","0","22","37","42","77","84","96","0","0","-"
"785","Tim Stützle","OTT","C","75","1272","17","33","15","18","50","71.43","154","11.04","18.69","282","219","167","77","11","30","22","11","11","0","0","36","46","40","83","116","38","215","257","45.55"
"67","Gustav Nyquist","NSH","C","81","1141.6666666667","17","32","22","10","49","72.06","126","13.49","15.95","210","168","103","57","10","22","6","3","3","0","0","8","27","34","26","71","36","12","22","35.29"
"287","Aleksander Barkov","FLA","C","73","1030.5333333333","18","31","21","10","49","68.06","129","13.95","16.57","262","197","162","69","12","30","24","11","11","0","0","16","25","47","77","68","42","447","339","56.87"
"548","Nico Hischier","N.J","C","71","1041.9666666667","20","29","15","14","49","73.13","121","16.53","17.83","230","181","154","81","7","24","12","6","6","0","0","19","21","47","37","57","33","597","471","55.90"
"9","Evgeni Malkin","PIT","C","81","1217.2","21","27","19","8","48","72.73","126","16.67","14.42","250","179","146","64","5","21","62","29","29","0","0","27","40","85","24","70","39","365","397","47.90"
"79","Matt Duchene","DAL","C","79","1143.9166666667","19","29","19","10","48","75.00","135","14.07","17.14","279","206","152","67","8","19","16","8","8","0","0","12","51","35","26","78","47","321","242","57.02"
"294","Bo Horvat","NYI","C","80","1277.8","22","26","12","14","48","65.75","195","11.28","17.05","318","262","182","73","14","28","30","11","10","0","1","12","39","30","50","52","37","585","509","53.47"
"400","Brock Boeser","VAN","R","81","1200.2833333333","24","24","17","7","48","62.34","125","19.20","15.62","272","189","153","63","9","22","12","6","6","0","0","4","19","25","47","32","28","13","12","52.00"
"466","Alex DeBrincat","DET","R","82","1225.8","16","32","21","11","48","66.67","176","9.09","16.57","371","262","191","60","10","39","28","11","9","2","0","20","32","48","53","51","35","15","14","51.72"
"120","Brock Nelson","NYI","C","81","1205.2833333333","23","24","17","7","47","72.31","186","12.37","18.83","307","245","212","92","11","30","22","11","11","0","0","17","38","31","31","60","44","336","396","45.90"
"328","Alex Tuch","BUF","R","75","1143.3666666667","19","28","16","12","47","71.21","149","12.75","16.45","283","223","142","66","16","16","50","18","15","2","1","16","25","64","56","40","71","28","39","41.79"
"546","Casey Mittelstadt","BUF, COL","C","79","1206.6666666667","15","32","17","15","47","61.84","103","14.56","10.27","196","137","102","41","5","18","22","11","11","0","0","6","37","43","19","86","29","443","509","46.53"
"573","Cale Makar","COL","D","76","1377.85","13","34","12","22","47","52.81","147","8.84","9.19","351","226","119","20","9","22","12","6","6","0","0","21","30","59","32","26","115","0","0","-"
"6","Joe Pavelski","DAL","C","81","1135.5833333333","16","30","18","12","46","67.65","135","11.85","16.4","235","182","148","81","7","21","16","8","8","0","0","19","51","21","64","40","68","308","294","51.16"
"126","Vladimir Tarasenko","FLA, OTT","R","76","1016.9833333333","20","26","16","10","46","68.66","109","18.35","11.64","231","159","112","47","9","28","12","6","6","0","0","8","24","18","76","73","37","4","3","57.14"
