"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"158","Boone Jenner","CBJ","C","58","100.93333333333","1.7402298850575","17.83","126.02","12.40","16.05","92.14","14.84","11.89","62.42","16.00","1.19","5.94","16.67","1.59","9.88","13.85","7.73","65.98","10.48","4.76","28.53","14.29","0.59","1.78","25.00","3.96","49.93","7.35","0.79","3.17","20.00","8.59","132.23","6.10","0","2.58","0.00","10.00","90.48","1.005","1.19","7.73","48.75","43.99","2.38","2.38","11.29","62.42","3.67"
"763","Arber Xhekaj","MTL","D","44","15.266666666667","0.3469696969697","7.86","125.76","5.88","3.93","98.25","3.85","3.93","58.95","6.25","0","11.79","0.00","0.47","14.56","3.11","3.93","82.53","4.55","3.93","62.88","5.88","0","11.79","0.00","0","26.2","0.00","0","0","-","11.35","90.83","11.11","0","0","-","0.00","80.00","0.800","3.93","3.93","15.72","102.18","20.00","3.93","3.93","27.51","12.50"
"609","Alexander Romanov","NYI","D","80","164.16666666667","2.0520833333333","12.06","125.73","8.75","10.6","90.27","10.51","8.41","69.44","10.80","2.19","12.43","15.00","1.01","9.68","9.41","8.41","72.37","10.41","3.29","30.7","9.68","1.1","5.12","17.65","6.82","55.55","10.94","1.46","4.39","25.00","3.17","101.36","3.03","0","5.81","0.00","26.09","82.11","1.082","0","6.21","21.56","40.57","0.00","1.83","10.96","38.38","4.55"
"370","Oliver Kylington","CGY","D","32","18.616666666667","0.58177083333333","25.78","125.69","17.02","22.56","103.13","17.95","16.11","83.8","16.13","3.22","12.89","20.00","2.07","10.61","16.34","9.67","80.57","10.71","9.67","41.9","18.75","3.22","12.89","20.00","0","51.57","0.00","0","0","-","18.62","69.83","21.05","0","0","-","20.00","84.62","1.046","6.45","3.22","9.67","87.02","40.00","9.67","3.22","12.89","42.86"
"741","J.J. Moser","ARI","D","79","192.11666666667","2.4318565400844","13.43","125.55","9.66","11.87","98.38","10.76","9.37","69.33","11.90","1.25","7.81","13.79","0.68","10.18","6.27","4.68","73.71","5.98","3.12","31.86","8.93","0.94","3.12","23.08","2.08","55.8","3.60","0","2.5","0.00","6.32","122.25","4.91","0.45","4.06","10.00","13.33","88.74","1.021","0.94","7.81","40.91","32.48","2.24","1.87","11.56","59.96","3.03"
"72","Jakob Silfverberg","ANA","R","80","86.05","1.075625","8.37","125.51","6.25","8.37","90.64","8.45","6.97","64.85","9.71","1.39","13.95","9.09","1.1","10.4","9.58","4.88","73.91","6.19","2.09","33.47","5.88","0.7","6.97","9.09","3.72","53.92","6.45","0.93","4.65","16.67","2.01","122.87","1.61","0","5.04","0.00","20.00","78.49","0.985","1.39","9.06","40.44","43.93","3.33","1.39","12.55","50.9","2.67"
"751","Cole Sillinger","CBJ","C","77","157.13333333333","2.0406926406926","16.42","125.24","11.59","13.36","94.7","12.37","9.93","67.97","12.75","0.38","9.93","3.70","0.89","9.05","8.92","6.49","63","9.34","3.05","24.06","11.27","0.38","4.58","7.69","4.58","51.93","8.11","0","2.04","0.00","9.38","135.68","6.46","0","5.52","0.00","3.85","85.39","0.892","0.76","3.82","41.24","48.88","1.82","1.53","6.49","54.6","2.72"
"197","Mike Matheson","MTL","D","82","244.06666666667","2.9764227642276","12.78","125.13","9.27","10.82","93.42","10.38","10.08","69.33","12.69","1.23","9.59","11.36","0.56","10.97","4.89","5.16","75.47","6.40","2.46","37.61","6.13","0.74","4.18","15.00","3.61","50.48","6.67","0.66","3.28","16.67","6.39","115.41","5.25","0","3.91","0.00","12.20","86.17","0.984","0.25","6.39","39.58","15","0.62","1.72","8.85","65.39","2.56"
"587","Barrett Hayton","ARI","C","33","36.933333333333","1.1191919191919","14.62","125.09","10.47","13","95.85","11.94","13","66.61","16.33","0","9.75","0.00","0.81","11.62","6.52","8.12","71.48","10.20","1.62","34.12","4.55","0","3.25","0.00","8.66","49.82","14.81","0","6.5","0.00","4.69","105.6","4.26","0","2.35","0.00","0.00","85.37","0.854","1.62","4.87","38.99","81.23","4.00","3.25","4.87","48.74","6.25"
"24","Trevor Lewis","L.A","C","81","145.18333333333","1.7923868312757","11.98","124.81","8.76","11.57","88.44","11.57","10.75","59.1","15.38","1.24","3.72","25.00","1.31","8.31","13.63","5.37","58.27","8.44","3.31","23.97","12.12","0.41","1.24","25.00","2.76","45.74","5.68","0","3.31","0.00","2.98","142.67","2.05","0","0","-","11.54","93.71","1.052","2.89","7.03","44.22","46.7","6.14","3.72","8.68","52.49","6.62"
