"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"906","Leo Carlsson","ANA","C","54","977.11666666667","18.09475308642","64.6","51.21","55.78","47.53","37.7","55.76","33.04","25.36","56.57","3.01","2.64","53.26","3.38","2.72","55.41","31.26","23.4","57.19","12.16","9.95","55.00","1.72","1.41","54.90","25.46","17.93","58.68","1.06","1.15","48.15","53.4","45.41","54.04","0.71","0.27","72.73","9.11","89.59","0.987","11.24","12.28","6.32","38.99","63.99","21.31","16.27","14.92","58.81"
"622","Ryan McLeod","EDM","C","79","1121.4333333333","14.195358649789","60.3","51.2","54.08","44.35","36.86","54.61","31.57","24.66","56.14","2.62","2.09","55.68","2.93","2.49","54.09","29.37","24.83","54.20","11.98","10.11","54.24","1.39","1.18","54.17","23.18","19.62","54.17","0.93","0.86","52.00","47.76","42.81","52.73","0.7","0.39","64.29","8.31","91.54","0.998","7.86","13.86","9.58","46.76","45.09","15.84","19.58","16.21","49.42"
"186","Rickard Rakell","PIT","R","69","1141.6666666667","16.545893719807","74.94","51.19","59.42","52.92","38","58.21","36.21","26.07","58.14","3.84","2.73","58.40","4.04","2.55","61.28","37.31","24.86","60.02","16.03","10.2","61.12","1.94","1.89","50.68","28.38","19.55","59.21","1.4","0.56","71.43","68.85","36.51","65.35","1.21","0.53","69.57","10.60","89.52","1.001","14.56","13.03","2.84","46.88","83.69","28.33","19.02","9.56","74.76"
"297","Josh Morrissey","WPG","D","81","1958.9","24.183950617284","69.16","51.18","57.47","51.58","38.01","57.57","35.99","26.86","57.26","4.04","2.02","66.67","3.77","2.55","59.63","33.94","23.34","59.25","14.3","10.63","57.37","2.33","0.98","70.37","26.18","16.95","60.70","1.8","0.82","68.75","64.42","41.59","60.77","0.49","0.35","57.89","11.23","92.47","1.037","12.37","9.71","6.43","38.59","65.80","29.99","15.84","14.03","68.13"
"281","Artturi Lehkonen","COL","L","44","814.91666666667","18.520833333333","72.82","51.17","58.73","52.64","38.29","57.89","37.84","26.58","58.74","4.64","3.02","60.58","3.89","2.93","57.04","37.92","22.9","62.35","15.24","10.01","60.35","2.21","1.4","61.22","30.24","17.18","63.77","2.16","0.98","68.75","64.98","44.99","59.09","1.17","0.85","57.89","12.26","88.64","1.009","14.5","10.6","8.03","39.98","64.38","28.79","16.64","16.71","63.27"
"302","Anthony Mantha","VGK, WSH","R","74","1052.5833333333","14.224099099099","64.75","51.13","55.88","46.12","35.28","56.65","31.64","24.34","56.52","3.82","2.45","60.91","3.29","2.26","59.32","27.99","22.52","55.42","13.11","8.15","61.66","2.17","1.08","66.67","19.84","19.15","50.88","1.14","1.29","46.88","56.98","40.18","58.64","1.15","0.49","70.00","12.07","89.93","1.020","9.92","11.63","6.9","43.95","58.98","17.56","15.68","13.05","57.36"
"201","Mark Jankowski","NSH","C","32","405.35","12.6671875","64.68","51.07","55.88","48.25","36.12","57.19","33.45","26.5","55.80","3.11","1.48","67.74","3.38","2.43","58.11","32.56","23.68","57.89","13.77","9.03","60.39","1.63","0.59","73.33","25.06","19.54","56.19","0.59","0.39","60.00","51.1","45.11","53.11","1.28","0.64","66.67","9.29","94.41","1.037","11.69","10.81","10.51","52.1","52.67","21.17","15.84","16.73","55.86"
"763","Connor Mackey","NYR","D","1","16.45","16.45","36.47","51.06","41.67","25.53","40.12","38.89","14.59","32.83","30.77","3.65","0","100.00","1.67","1.84","47.57","7.29","14.59","33.33","0","7.29","0.00","0","0","-","9.73","9.73","50.00","0","0","-","36.88","63.22","36.84","0","0","-","25.00","100.00","1.250","7.29","21.88","21.88","29.18","25.00","10.94","29.18","40.12","21.43"
"247","Nate Schmidt","WPG","D","62","1039.8166666667","16.77123655914","59.49","51.01","53.84","42.82","35.37","54.76","29.31","23.89","55.10","2.31","1.9","54.79","2.78","2.24","55.39","26.83","22.56","54.32","10.96","9.41","53.82","0.92","1.21","43.24","21.16","17.54","54.67","1.15","0.31","78.95","50.18","42.42","54.19","0.75","0.67","52.94","7.87","92.03","0.999","9.75","11.02","6.75","51.99","59.09","17.95","16.56","12.23","59.46"
"76","Jakob Silfverberg","ANA","R","80","1044.55","13.056875","58.3","50.95","53.36","41.99","37.85","52.59","28.15","26.65","51.36","2.3","2.13","51.95","2.78","2.71","50.62","24.99","23.95","51.06","9.88","11.49","46.24","0.92","1.21","43.24","20.14","16.62","54.79","0.92","0.77","54.55","57.17","47.38","54.68","1","0.5","66.67","8.16","92.03","1.002","13.79","12.23","10.22","44.4","57.42","21.94","16.49","19.42","53.06"
