"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"732","Mikael Pyyhtia","CBJ","L","17","21.716666666667","2","56","3.45","2","39","4.88","1","28","3.45","0","2","0.00","0.02","4.62","0.50","0","28","0.00","0","13","0.00","0","1","0.00","0","15","0.00","0","1","0.00","1","32","3.03","0","0","-","0.00","92.86","0.929","0","0","9","21","0.00","0","0","11","0.00"
"635","Peyton Krebs","BUF","C","80","33.183333333333","2","62","3.13","2","53","3.64","2","40","4.76","0","11","0.00","0","5.08","0.02","0","33","0.00","0","17","0.00","0","5","0.00","0","16","0.00","0","3","0.00","1","51","1.92","0","3","0.00","0.00","72.50","0.725","3","1","35","22","7.89","4","3","38","9.52"
"3","Zach Parise","COL","L","29","29.883333333333","0","58","0.00","0","47","0.00","0","31","0.00","0","4","0.00","0","5.32","0.00","0","33","0.00","0","20","0.00","0","3","0.00","0","13","0.00","0","1","0.00","1","41","2.38","0","0","-","-","87.10","0.87","1","4","15","30","6.25","1","5","19","5.00"
"5","Joe Pavelski","DAL","C","81","6.75","0","4","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.13","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","8","0.00","0","0","-","-","0.00","0.00","0","0","10","22","0.00","0","0","10","0.00"
"8","Evgeni Malkin","PIT","C","81","3.0166666666667","0","4","0.00","0","4","0.00","0","3","0.00","0","3","0.00","0","1.24","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","2","0.00","0","1","0.00","-","0.00","0.00","0","0","0","14","-","0","0","1","0.00"
"15","T.J. Oshie","WSH","R","52","4.65","0","6","0.00","0","3","0.00","0","2","0.00","0","0","-","0","0.13","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","6","0.00","0","0","-","-","100.00","1.00","0","1","1","13","0.00","0","1","1","0.00"
"49","Steven Stamkos","T.B","C","78","4.9333333333333","0","4","0.00","0","3","0.00","0","0","-","0","0","-","0","0.19","0.00","0","2","0.00","0","0","-","0","0","-","0","2","0.00","0","0","-","0","4","0.00","0","0","-","-","-","-","0","2","3","11","0.00","0","2","2","0.00"
"64","Matt Martin","NYI","L","56","1.1333333333333","0","3","0.00","0","2","0.00","0","2","0.00","0","0","-","0","0.13","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","2","0.00","0","0","-","-","100.00","1.00","0","0","0","1","-","0","0","0","-"
"73","John Tavares","TOR","C","79","1.0166666666667","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.02","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","0","1","10","0.00","0","0","1","0.00"
"96","Byron Froese","VGK","C","16","7.7666666666667","0","17","0.00","0","12","0.00","0","10","0.00","0","1","0.00","0","1.45","0.00","0","12","0.00","0","5","0.00","0","0","-","0","7","0.00","0","1","0.00","0","6","0.00","0","0","-","-","90.00","0.90","0","3","3","7","0.00","0","3","5","0.00"
"99","Anders Lee","NYI","L","81","1.15","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.04","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","1","4","0.00","0","0","1","0.00"
"109","Jason Zucker","ARI, NSH","L","69","1.1166666666667","0","3","0.00","0","2","0.00","0","2","0.00","0","1","0.00","0","0.17","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","4","0.00","0","1","0.00","-","50.00","0.50","0","0","1","4","0.00","0","0","1","0.00"
"123","Austin Watson","T.B","L","32","0.11666666666667","0","1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"124","Jaden Schwartz","SEA","C","61","1.5","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0.03","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","3","0.00","0","0","-","-","-","-","0","1","1","10","0.00","0","1","2","0.00"
"134","Nino Niederreiter","WPG","R","76","0.95","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.12","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","-","100.00","1.00","0","1","0","2","-","0","1","0","-"
"146","Travis Boyd","ARI","C","16","0.9","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0.08","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","-","-","0","0","0","1","-","0","0","0","-"
"169","Mark Scheifele","WPG","C","74","3.35","0","12","0.00","0","10","0.00","0","5","0.00","0","0","-","0","0.95","0.00","0","6","0.00","0","2","0.00","0","0","-","0","4","0.00","0","0","-","2","9","18.18","0","0","-","-","100.00","1.00","3","2","5","16","37.50","3","3","5","37.50"
"171","Dougie Hamilton","N.J","D","20","4.6333333333333","0","8","0.00","0","5","0.00","0","4","0.00","0","0","-","0","0.28","0.00","0","2","0.00","0","0","-","0","0","-","0","2","0.00","0","0","-","0","7","0.00","0","0","-","-","100.00","1.00","0","0","2","12","0.00","0","0","2","0.00"
"177","Stefan Noesen","CAR","R","81","2.1166666666667","0","1","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0.02","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","100.00","1.00","0","0","1","11","0.00","1","0","1","50.00"
"222","Dominic Toninato","WPG","C","15","0.71666666666667","0","3","0.00","0","2","0.00","0","1","0.00","0","0","-","0","0.15","0.00","0","1","0.00","0","1","0.00","0","0","-","0","0","-","0","0","-","0","4","0.00","0","0","-","-","100.00","1.00","0","0","2","0","0.00","0","0","2","0.00"
"237","Dominik Kubalik","OTT","L","74","0.066666666666667","0","1","0.00","0","1","0.00","0","1","0.00","0","1","0.00","0","0.05","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","1","0.00","-","0.00","0.00","0","0","0","2","-","0","0","0","-"
"243","Jonny Brodzinski","NYR","C","57","0.28333333333333","0","1","0.00","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","1","0.00","0","0","-","-","-","-","0","0","0","2","-","0","0","0","-"
"245","Hudson Fasching","NYI","R","45","3.7166666666667","0","5","0.00","0","1","0.00","0","0","-","0","0","-","0","0.05","0.00","0","1","0.00","0","0","-","0","0","-","0","1","0.00","0","0","-","0","5","0.00","0","0","-","-","-","-","0","0","1","7","0.00","0","0","1","0.00"
