"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"644","Noah Dobson","NYI","D","79","1937.1166666667","24.520464135021","0.31","1.86","1.08","0.77","2.17","56.00","5.39","5.75","0.21","13.85","7.84","3.28","0.34","0.34","0.96","1.12","0.56","0.56","0","0","0.22","1.92","0.99","2.2","4.15","5.58","0","0","-"
"739","Alex Newhook","MTL","C","55","930.95","16.926363636364","0.97","1.22","0.45","0.77","2.19","61.82","5.48","17.65","0.77","11.67","8.44","7.48","3.48","0.32","0.84","1.16","0.58","0.58","0","0","0.64","1.93","1.35","1.93","3.74","2","14.76","16.95","3.00"
"77","John Tavares","TOR","C","79","1411.9833333333","17.873206751055","1.19","1.53","0.76","0.76","2.72","62.75","11.77","10.11","1.74","20.4","16.19","14.02","8.54","0.42","2.59","1.27","0.64","0.64","0","0","0.93","2.17","1.57","4.97","4.63","1.57","33.74","23.03","2.53"
"256","Jonny Brodzinski","NYR","C","57","634.26666666667","11.127485380117","0.57","1.23","0.47","0.76","1.8","65.52","8.42","6.74","0.75","16.55","12.01","8.04","3.22","1.04","1.8","0.76","0.38","0.38","0","0","0.76","1.61","1.8","2.93","4.54","2.27","15.32","15.23","4.74"
"288","Jonathan Drouin","COL","L","78","1421.6666666667","18.226495726496","0.8","1.56","0.8","0.76","2.36","46.67","5.32","15.08","0.65","10.34","7.68","7.26","3.63","0.34","0.72","1.18","0.59","0.59","0","0","0.42","1.27","1.6","1.56","2.95","1.35","1.86","1.73","2.18"
"454","Matthew Tkachuk","FLA","L","80","1491.2","18.64","1.05","2.49","1.73","0.76","3.54","68.75","11.27","9.29","1.47","20.12","15.85","11.43","7.12","0.24","2.29","3.54","1.33","1.17","0.08","0.08","2.01","2.49","1.57","5.55","2.78","1.13","0.12","0.24","1.34"
"494","Jesper Bratt","N.J","L","82","1581.5666666667","19.287398373984","1.02","2.12","1.37","0.76","3.15","62.88","9.41","10.89","1.08","17","13.28","10.96","4.51","0.87","1.48","0.46","0.23","0.23","0","0","0.72","1.71","1.48","1.97","2.47","1.25","0.3","0.53","1.38"
"67","Gustav Nyquist","NSH","C","81","1437.1333333333","17.742386831276","0.96","2.17","1.42","0.75","3.13","70.09","6.43","14.94","0.86","11.27","8.85","5.97","3.05","0.5","1.17","0.33","0.17","0.17","0","0","0.5","1.67","1.54","1.17","3.34","1.59","0.63","1","1.61"
"382","Jack Eichel","VGK","C","62","1273.6166666667","20.542204301075","1.41","1.74","0.99","0.75","3.16","75.28","12.81","11.03","1.08","20.02","16.11","9.19","3.44","0.85","1.6","1.27","0.38","0.28","0.05","0.05","1.08","1.93","2.78","0.94","3.39","2.83","19.13","22.99","2.14"
"571","Josh Norris","OTT","C","50","881.86666666667","17.637333333333","1.09","0.95","0.2","0.75","2.04","62.50","7.82","13.91","0.78","14.15","10.48","8.16","3.27","0.34","1.16","1.5","0.75","0.75","0","0","1.16","1.84","1.5","4.97","4.22","2.04","22.32","20.48","3.55"
"578","Filip Chytil","NYR","C","10","159.3","15.93","0","2.26","1.51","0.75","2.26","66.67","8.29","0.00","0.71","15.07","12.43","6.78","2.64","0","0.75","1.51","0.75","0.75","0","0","0.38","0.75","1.13","1.51","4.9","1.51","10.92","14.31","16.30"
"839","Luke Hughes","N.J","D","82","1760.8333333333","21.473577235772","0.31","1.29","0.55","0.75","1.6","43.93","4.6","6.67","0.24","13.66","6.78","4.16","0.37","0.2","1.12","0.95","0.48","0.48","0","0","0.78","2.35","1.43","0.65","4.12","1.87","0","0","-"
"217","Chandler Stephenson","VGK","C","75","1386.2666666667","18.483555555556","0.69","1.51","0.78","0.74","2.21","67.11","4.2","16.49","0.47","7.49","5.84","4.54","2.12","0.26","0.26","1.08","0.3","0.22","0.04","0.04","0.82","0.78","1.77","1.6","3.12","1.73","23.93","21.51","2.28"
"341","Brandon Montour","FLA","D","66","1547.5166666667","23.447222222222","0.31","0.97","0.23","0.74","1.28","34.74","6.51","4.76","0.41","16.01","9.58","4.77","1.09","0.23","1.16","1.78","0.58","0.5","0","0.08","0.35","1.55","0.7","3.49","3.22","2.6","0","0","-"
