"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"452","Matthew Tkachuk","FLA","L","74","1065.2666666667","1414","994","58.72","971","775","55.61","668","556","54.58","67","52","56.30","70.93","51.76","57.81","695","460","60.17","298","209","58.78","27","23","54.00","397","251","61.27","22","21","51.16","816","558","59.39","13","3","81.25","10.03","90.65","1.007","227","255","120","788","65.42","434","348","249","63.54"
"316","Sam Reinhart","FLA","C","76","1098.8166666667","1325","938","58.55","929","664","58.32","617","442","58.26","68","43","61.26","62.66","43.52","59.01","601","404","59.80","229","150","60.42","34","18","65.38","372","254","59.42","19","10","65.52","840","595","58.54","12","10","54.55","11.02","90.27","1.013","233","268","200","727","53.81","434","353","365","54.32"
"198","Brady Skjei","CAR","D","75","1358.9","1601","1143","58.35","1132","855","56.97","722","597","54.74","63","52","54.78","69.83","61.35","53.23","672","538","55.54","274","237","53.62","33","27","55.00","398","301","56.94","15","16","48.39","1037","667","60.86","13","6","68.42","8.73","91.29","1.000","191","246","161","966","54.26","508","446","418","54.86"
"831","Logan Stankoven","DAL","C","17","229.03333333333","284","203","58.32","194","143","57.57","137","91","60.09","17","9","65.38","13.49","8.26","62.04","138","88","61.06","55","42","56.70","8","5","61.54","83","46","64.34","7","2","77.78","167","137","54.93","2","2","50.00","12.41","90.11","1.025","41","46","38","176","51.90","82","72","85","49.10"
"573","Filip Chytil","NYR","C","10","141.86666666667","151","108","58.30","110","88","55.56","75","60","55.56","8","8","50.00","6.92","5.34","56.45","76","50","60.32","28","23","54.90","5","6","45.45","48","27","64.00","3","0","100.00","70","61","53.44","0","2","0.00","10.67","86.67","0.973","23","22","7","120","76.67","39","35","16","70.91"
"767","Seth Jarvis","CAR","C","75","1031.2833333333","1202","860","58.29","848","624","57.61","557","420","57.01","65","42","60.75","50.4","41.94","54.58","536","391","57.82","216","148","59.34","29","17","63.04","320","243","56.84","23","17","57.50","752","513","59.45","11","5","68.75","11.67","90.00","1.017","219","239","144","708","60.33","380","335","321","54.21"
"688","Ronnie Attard","PHI","D","11","152.68333333333","173","124","58.25","130","80","61.90","86","51","62.77","5","4","55.56","7.22","5.41","57.20","70","51","57.85","28","25","52.83","1","1","50.00","42","26","61.76","3","2","60.00","112","73","60.54","1","1","50.00","5.81","92.16","0.980","19","33","11","150","63.33","48","45","23","67.61"
"562","Martin Necas","CAR","C","70","1069.7333333333","1324","951","58.20","940","718","56.69","618","518","54.40","54","57","48.65","55.8","55.97","49.93","567","448","55.86","207","207","50.00","30","25","54.55","360","241","59.90","14","19","42.42","795","499","61.44","10","8","55.56","8.74","89.00","0.977","169","175","72","821","70.12","366","286","224","62.03"
"318","Sam Bennett","FLA","C","63","893.6","1160","838","58.06","801","642","55.51","552","461","54.49","49","35","58.33","53.18","40.36","56.85","561","383","59.43","233","183","56.01","13","18","41.94","328","200","62.12","23","12","65.71","660","477","58.05","10","2","83.33","8.88","92.41","1.013","185","217","94","666","66.31","333","293","217","60.55"
"390","Sebastian Aho","CAR","C","72","1073.85","1279","926","58.00","924","706","56.69","595","492","54.74","73","43","62.93","59.89","54.52","52.34","559","449","55.46","216","186","53.73","35","21","62.50","343","263","56.60","26","14","65.00","830","508","62.03","9","3","75.00","12.27","91.26","1.035","231","169","103","818","69.16","434","262","276","61.13"
"492","Jesper Bratt","N.J","L","75","1109.4666666667","1392","1012","57.90","999","779","56.19","696","559","55.46","75","79","48.70","70.53","70.09","50.16","706","472","59.93","288","212","57.60","34","41","45.33","418","260","61.65","30","20","60.00","793","567","58.31","9","12","42.86","10.78","85.87","0.966","241","291","163","865","59.65","426","401","307","58.12"
"426","Evan Rodrigues","FLA","C","74","984","1160","845","57.86","814","613","57.04","557","420","57.01","52","25","67.53","49.48","36.82","57.34","490","381","56.26","202","155","56.58","29","14","67.44","288","226","56.03","11","5","68.75","742","499","59.79","11","5","68.75","9.34","94.05","1.034","204","226","161","695","55.89","342","304","299","53.35"
"358","Gustav Forsling","FLA","D","73","1324.6833333333","1595","1165","57.79","1085","863","55.70","750","588","56.05","79","35","69.30","76.35","51.09","59.91","723","511","58.59","306","220","58.17","36","17","67.92","417","291","58.90","22","12","64.71","927","717","56.39","16","6","72.73","10.53","94.05","1.046","160","277","179","983","47.20","404","410","416","49.27"
"284","Brett Pesce","CAR","D","65","1157.7166666667","1349","989","57.70","959","729","56.81","611","508","54.60","55","49","52.88","59.41","47.74","55.45","598","466","56.20","234","198","54.17","28","22","56.00","364","268","57.59","13","22","37.14","829","576","59.00","12","5","70.59","9.00","90.35","0.994","155","217","155","815","50.00","410","386","359","53.32"
"710","Arthur Kaliyev","L.A","R","50","524.55","613","450","57.67","473","315","60.03","319","225","58.64","21","23","47.73","29.48","21.11","58.27","282","215","56.74","119","92","56.40","13","12","52.00","163","123","56.99","5","4","55.56","362","253","58.86","3","5","37.50","6.58","89.78","0.964","88","101","62","419","58.67","163","150","129","55.82"
"557","Jason Robertson","DAL","L","75","1161.6833333333","1355","999","57.56","944","705","57.25","644","450","58.87","73","51","58.87","59.11","40.74","59.20","641","407","61.16","255","155","62.20","32","27","54.24","386","252","60.50","30","15","66.67","802","656","55.01","8","5","61.54","11.34","88.67","1.000","204","230","164","807","55.43","430","338","364","54.16"
"427","Artemi Panarin","NYR","L","75","1237.1333333333","1508","1119","57.40","1095","834","56.77","740","593","55.51","84","61","57.93","71.58","60.55","54.17","743","561","56.98","293","221","57.00","33","38","46.48","450","340","56.96","28","15","65.12","884","502","63.78","19","5","79.17","11.35","89.71","1.011","245","218","41","994","85.66","456","309","119","79.30"
"447","Philippe Myers","T.B","D","5","56.533333333333","66","49","57.39","44","34","56.41","28","25","52.83","1","3","25.00","3.05","2.62","53.81","36","23","61.02","14","13","51.85","0","1","0.00","22","10","68.75","1","2","33.33","30","21","58.82","0","0","-","3.57","88.00","0.916","9","5","4","52","69.23","16","9","6","72.73"
"315","Aaron Ekblad","FLA","D","51","832.3","1007","750","57.31","684","559","55.03","460","378","54.89","45","20","69.23","49.34","32.95","59.96","454","322","58.51","189","140","57.45","20","10","66.67","265","182","59.28","9","6","60.00","591","468","55.81","9","4","69.23","9.78","94.71","1.045","101","175","129","631","43.91","262","255","276","48.70"
"401","Roope Hintz","DAL","C","73","982.35","1187","885","57.29","828","625","56.99","557","396","58.45","68","45","60.18","55.06","37.32","59.60","567","349","61.90","228","138","62.30","30","23","56.60","339","211","61.64","26","15","63.41","721","592","54.91","9","4","69.23","12.21","88.64","1.008","212","218","177","715","54.50","416","325","350","54.31"
