"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"699","Cole Caufield","MTL","R","74","1156.3833333333","15.626801801802","0.67","1.19","0.88","0.31","1.87","64.29","10.64","6.34","0.93","19.82","14.89","8.98","2.75","0.36","1.92","0.73","0.36","0.36","0","0","0.99","1.61","1.45","2.39","2.91","0.83","0.36","0.36","2.59"
"742","Juuso Parssinen","NSH","C","44","578.43333333333","13.146212121212","0.62","0.31","0","0.31","0.93","40.91","4.67","13.33","0.72","8.4","6.22","5.5","3.11","0.93","0.83","1.24","0.62","0.62","0","0","1.66","1.45","1.56","5.71","3.42","1.56","7.47","11.83","4.02"
"753","Drew O'Connor","PIT","L","72","978.45","13.589583333333","0.8","0.86","0.55","0.31","1.66","56.25","8.28","9.63","1.11","14.04","11.16","9.69","5.09","0.37","1.9","1.23","0.61","0.61","0","0","0.86","1.47","1.66","2.45","4.84","2.27","0.92","1.29","2.56"
"782","Alexander Holtz","N.J","R","75","772.51666666667","10.300222222222","1.17","0.78","0.47","0.31","1.94","80.65","8.08","14.42","0.72","15.07","11.49","6.76","2.64","0.31","1.55","0.93","0.39","0.39","0","0","0.23","1.17","0.7","2.72","4.12","1.24","0.47","1.17","2.22"
"13","Jack Johnson","COL","D","73","1009.25","13.825342465753","0.18","0.71","0.42","0.3","0.89","30.61","4.04","4.41","0.15","10.52","5.77","2.68","0.24","0.12","1.07","2.14","0.54","0.42","0","0.12","0.48","0.95","0.65","3.8","4.1","4.46","0","0","-"
"114","Tyler Toffoli","N.J, WPG","C, R","72","995.63333333333","13.828240740741","1.27","0.78","0.48","0.3","2.05","58.62","9.04","14.00","1.09","17.84","13.86","9.22","3.37","0.9","1.75","0.72","0.36","0.36","0","0","0.6","1.51","1.69","3.37","2.89","0.6","1.33","2.11","2.33"
"154","Johnny Gaudreau","CBJ","L","75","1199.6333333333","15.995111111111","0.5","1.45","1.15","0.3","1.95","60.94","5.75","8.70","0.62","10.6","7.45","5.6","2.1","0.4","0.95","1.1","0.35","0.3","0","0.05","0.9","1.65","1.4","0.05","1.3","1.05","0","0.05","0.00"
"288","Seth Jones","CHI","D","60","1201.2166666667","20.020277777778","0.2","0.8","0.5","0.3","1","41.67","5.69","3.51","0.28","12.39","7.94","3.65","0.4","0.4","1.35","1.2","0.6","0.6","0","0","0.3","2.15","1.4","2.65","3.4","4.9","0","0","-"
"303","Dakota Mermis","MIN","D","46","602.45","13.096739130435","0.3","0.5","0.2","0.3","0.8","40.00","3.88","7.69","0.18","11.65","6.97","3.19","0.5","0.3","1.69","3.29","1.1","0.9","0.1","0.1","0.4","1.2","0.4","3.49","4.38","4.88","0","0","-"
"391","Oliver Kylington","CGY","D","25","396.85","15.874","0.3","0.45","0.15","0.3","0.76","33.33","4.54","6.67","0.26","11.04","7.11","4.23","0.76","0.15","0.76","1.21","0.6","0.6","0","0","0","2.57","1.51","2.42","6.5","6.2","0","0","-"
"450","Kevin Rooney","CGY","C","24","202.23333333333","8.4263888888889","0.59","0.3","0","0.3","0.89","50.00","5.04","11.76","0.67","8.9","5.93","5.04","2.97","0.3","1.78","0","0","0","0","0","0.89","1.78","1.19","13.05","7.12","3.86","16.91","19.88","13.64"
"480","Dante Fabbro","NSH","D","54","804.73333333333","14.902469135802","0.22","0.75","0.45","0.3","0.97","32.50","4.7","4.76","0.18","9.84","6.86","2.39","0.22","0.15","1.34","1.49","0.75","0.75","0","0","0.3","2.83","0.6","2.46","6.41","5.37","0","0","-"
"518","Justin Brazeau","BOS","R","19","199.33333333333","10.491228070175","0.9","0.6","0.3","0.3","1.51","50.00","7.22","12.50","0.93","11.44","10.54","6.62","4.82","1.51","0.9","0.6","0.3","0.3","0","0","0.6","0.9","0.9","12.94","6.32","3.61","0.9","1.81","10.03"
"589","Sebastian Aho","NYI","D","54","810.21666666667","15.004012345679","0.15","0.37","0.07","0.3","0.52","29.17","3.11","4.76","0.13","8.29","5.11","2","0.15","0.15","0.96","0.74","0.37","0.37","0","0","0.96","1.04","0.37","2.3","4.22","4.74","0","0","-"
"750","Tye Kartye","SEA","L","69","795.11666666667","11.523429951691","0.68","0.6","0.3","0.3","1.28","77.27","7.09","9.57","0.76","14.64","10.94","8.53","3.92","0.45","0.98","2.64","0.91","0.75","0.08","0.08","1.06","0.6","1.66","11.24","4.6","1.74","2.87","3.09","3.63"
"794","Will Cuylle","NYR","L","74","799.96666666667","10.81036036036","0.83","0.53","0.23","0.3","1.35","64.29","7.95","10.38","0.82","13.65","10.13","8.03","4.13","0.68","1.58","3.53","1.13","0.83","0.23","0.08","0.9","1.2","0.98","15.45","5.85","1.8","0.15","0.53","1.67"
"8","Alex Ovechkin","WSH","L","71","1033.5666666667","14.557276995305","0.81","1.04","0.75","0.29","1.86","64.00","8.59","9.46","0.91","18.34","12.36","8.48","3.19","0.87","1.8","0.81","0.41","0.41","0","0","0.52","1.74","1.1","6.91","1.39","1.22","0","0.12","0.00"
"15","Marc Staal","PHI","D","33","419.13333333333","12.70101010101","0.14","0.57","0.29","0.29","0.72","31.25","2.58","5.56","0.15","7.87","4.87","2.15","0.29","0","0.72","2","1","1","0","0","0.43","1","0.43","4.01","3.58","5.01","0","0","-"
"59","Jordan Eberle","SEA","R","70","1039.2833333333","14.846904761905","0.64","1.1","0.81","0.29","1.73","56.60","7.51","8.46","0.8","13.51","10.28","7.27","3.29","0.75","1.5","0.75","0.29","0.23","0.06","0","0.64","0.87","2.94","1.39","3.98","1.21","1.56","2.19","2.40"
"127","Austin Watson","T.B","L","30","208.3","6.9433333333333","0.58","0.58","0.29","0.29","1.15","66.67","4.9","11.76","0.45","8.93","6.91","4.03","1.73","0.29","1.44","23.33","5.18","2.3","2.02","0.86","3.74","0","0.86","19.88","4.03","4.61","0","0.86","0.00"
"184","Phillip Danault","L.A","C","72","1033.3833333333","14.352546296296","0.81","1.05","0.75","0.29","1.86","59.26","7.26","11.20","0.81","12.77","10.1","7.66","3.72","0.35","1.74","0.93","0.46","0.46","0","0","0.7","1.51","0.87","3.54","2.85","2.79","25.31","23.81","2.99"
"204","Zemgus Girgensons","BUF","L","58","628.31666666667","10.833045977011","0.76","0.48","0.19","0.29","1.24","59.09","6.49","11.76","0.68","11.75","9.45","6.68","4.01","0.48","1.15","2.01","0.86","0.76","0.1","0","0.76","0.38","0.67","11.55","7.83","2.77","6.02","6.68","4.52"
"336","Ivan Barbashev","VGK","C","74","1048.25","14.165540540541","0.86","1.26","0.97","0.29","2.12","59.68","5.15","16.67","0.67","10.13","7.56","7.61","3.32","0.23","1.55","2.29","0.92","0.8","0.11","0","1.14","1.55","1.26","7.84","3.95","2.18","1.66","2.4","2.34"
"367","Jake Middleton","MIN","D","72","1263.15","17.54375","0.33","0.67","0.38","0.29","1","39.62","3.75","8.86","0.24","8.31","5.13","2.76","0.81","0.1","0.9","3.66","1.28","0.95","0.33","0","0.95","0.76","0.71","5.51","2.52","5.42","0","0","-"
"476","William Lockwood","FLA","R","26","204.81666666667","7.8775641025641","0","0.29","0","0.29","0.29","25.00","5.57","0.00","0.55","10.84","8.5","4.39","2.05","0.29","0.59","4.69","1.46","0.88","0.59","0","0.88","1.17","1.76","12.89","9.37","2.34","1.17","1.17","14.65"
"528","Juuso Valimaki","ARI","D","60","1017.5833333333","16.959722222222","0.12","0.53","0.24","0.29","0.65","25.00","3.3","3.57","0.19","7.67","5.6","2.18","0.71","0.29","0.41","0.59","0.29","0.29","0","0","0.59","1.3","0.29","2.89","6.66","4.13","0","0","-"
"623","Filip Zadina","S.J","R","69","834.9","12.1","0.72","0.65","0.36","0.29","1.37","79.17","8.84","8.13","0.81","16.89","12.22","7.98","3.52","0.36","2.01","1.29","0.57","0.57","0","0","0.86","1.08","1.87","3.09","2.37","1.94","0.86","3.09","1.57"
"697","Nils Hoglander","VAN","L","72","817.6","11.355555555556","1.61","0.81","0.51","0.29","2.42","67.35","7.71","20.95","1.08","12.62","11.15","9.17","5.8","0.59","0.81","2.57","1.17","1.1","0.07","0","1.03","0.88","1.98","5.5","5.28","1.39","0","0","-"
"700","Samuel Bolduc","NYI","D","33","414.43333333333","12.558585858586","0.14","0.29","0","0.29","0.43","21.43","3.91","3.70","0.11","9.7","6.8","2.75","0.29","0.29","0.87","0.87","0.43","0.43","0","0","0.14","1.3","0.14","4.63","4.63","4.92","0","0","-"
"80","Evander Kane","EDM","L","71","1082.7","15.249295774648","1","0.72","0.44","0.28","1.72","64.58","10.14","9.84","1.29","19.23","14.57","10.92","5.76","1.16","1.83","3.6","1.27","1.05","0.17","0.06","0.78","2","1.22","11.86","6.04","1.5","1.55","1.83","2.54"
"91","Tyson Barrie","NSH","D","41","631.63333333333","15.405691056911","0.09","0.76","0.47","0.28","0.85","34.62","4.37","2.17","0.32","10.26","6.93","3.42","0.85","0.19","1.14","0.57","0.28","0.28","0","0","0.28","1.33","0.47","1.14","3.04","4.37","0","0","-"
"111","Calle Jarnkrok","TOR","C","52","649.51666666667","12.490705128205","0.83","0.83","0.55","0.28","1.66","46.15","7.11","11.69","0.81","12.84","9.88","8.04","3.88","0.37","1.57","1.48","0.74","0.74","0","0","0.92","0.74","1.11","3.88","6.47","0.92","4.16","3.51","5.01"
