"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"624","Connor Dewar","MIN, TOR","C","68","8.75","0.12867647058824","61.71","41.14","60.00","34.29","41.14","45.45","20.57","13.71","60.00","0","13.71","0.00","3.45","2.17","61.39","20.57","20.57","50.00","13.71","6.86","66.67","0","6.86","0.00","9.14","18.29","33.33","0","9.14","0.00","108.95","19.81","84.62","0","0","-","0.00","0.00","0.000","34.29","27.43","0","61.71","100.00","68.57","41.14","0","100.00"
"641","Rafael Harvey-Pinard","MTL","L","37","11.683333333333","0.31576576576577","77.03","41.08","65.22","56.49","30.81","64.71","30.81","30.81","50.00","0","0","-","7.14","2.17","76.69","56.49","15.41","78.57","25.68","10.27","71.43","0","0","-","41.08","6.85","85.71","0","0","-","59.34","7.42","88.89","0","0","-","0.00","100.00","1.000","30.81","5.14","0","82.17","100.00","35.95","5.14","0","100.00"
"144","Michael Sgarbossa","WSH","C","22","7.3833333333333","0.33560606060606","105.64","40.63","72.22","97.52","32.51","75.00","89.39","32.51","73.33","24.38","0","100.00","13.43","1.24","91.56","81.26","8.13","90.91","48.76","8.13","85.71","16.25","0","100.00","43.34","0","100.00","10.84","0","100.00","105.64","23.48","81.82","0","0","-","27.27","100.00","1.273","24.38","16.25","8.13","65.01","75.00","73.14","16.25","8.13","90.00"
"355","Jake Middleton","MIN","D","72","2.9666666666667","0.041203703703704","60.67","40.45","60.00","40.45","40.45","50.00","20.22","20.22","50.00","0","20.22","0.00","2.97","3.48","46.06","20.22","20.22","50.00","20.22","20.22","50.00","0","20.22","0.00","0","0","-","0","0","-","146.07","29.21","83.33","0","0","-","0.00","0.00","0.000","141.57","20.22","0","182.02","100.00","161.8","20.22","0","100.00"
"690","Simon Holmstrom","NYI","R","70","4.4666666666667","0.063809523809524","107.46","40.3","72.73","94.03","40.3","70.00","67.16","26.87","71.43","0","0","-","7.08","3.89","64.55","40.3","13.43","75.00","26.87","0","100.00","0","0","-","17.91","17.91","50.00","0","0","-","116.42","19.4","85.71","0","0","-","0.00","100.00","1.000","53.73","13.43","0","94.03","100.00","67.16","13.43","0","100.00"
"65","TJ Brodie","TOR","D","71","4.5","0.063380281690141","93.33","40","70.00","40","13.33","75.00","26.67","13.33","66.67","0","0","-","1.54","1.33","53.77","13.33","13.33","50.00","0","13.33","0.00","0","0","-","17.78","0","100.00","0","0","-","173.33","19.26","90.00","0","0","-","0.00","100.00","1.000","120","93.33","13.33","133.33","90.00","133.33","93.33","13.33","90.91"
"783","Mackie Samoskevich","FLA","R","7","4.5166666666667","0.6452380952381","132.84","39.85","76.92","92.99","39.85","70.00","39.85","26.57","60.00","0","0","-","9.78","2.49","79.73","26.57","13.28","66.67","13.28","13.28","50.00","0","0","-","17.71","0","100.00","0","0","-","172.69","19.19","90.00","0","0","-","0.00","100.00","1.000","26.57","13.28","13.28","66.42","66.67","26.57","26.57","26.57","50.00"
"665","Nikita Okhotiuk","CGY, S.J","D","48","6.05","0.12604166666667","29.75","39.67","42.86","19.83","29.75","40.00","0","29.75","0.00","0","0","-","1.42","1.69","45.55","9.92","19.83","33.33","0","0","-","0","0","-","13.22","26.45","33.33","0","0","-","28.65","28.65","50.00","0","0","-","-","100.00","1.00","0","29.75","0","109.09","-","0","29.75","0","-"
"325","Brendan Lemieux","CAR","L","30","1.5166666666667","0.050555555555556","118.68","39.56","75.00","79.12","39.56","66.67","39.56","39.56","50.00","0","0","-","3.43","2.83","54.76","0","39.56","0.00","0","0","-","0","0","-","0","52.75","0.00","0","0","-","285.71","0","100.00","0","0","-","0.00","100.00","1.000","79.12","39.56","0","39.56","100.00","79.12","39.56","0","100.00"
"193","Brendan Gaunce","CBJ","C","19","1.5333333333333","0.080701754385965","39.13","39.13","50.00","39.13","39.13","50.00","0","39.13","0.00","0","39.13","0.00","2.03","5.92","25.54","0","39.13","0.00","0","39.13","0.00","0","39.13","0.00","0","0","-","0","0","-","113.04","0","100.00","0","0","-","-","0.00","0.00","39.13","39.13","0","39.13","100.00","39.13","39.13","0","100.00"
"486","Troy Stecher","ARI, EDM","D","51","3.0833333333333","0.060457516339869","38.92","38.92","50.00","38.92","19.46","66.67","38.92","0","100.00","0","0","-","5","2.5","66.71","38.92","19.46","66.67","38.92","0","100.00","0","0","-","0","25.95","0.00","0","0","-","0","56.22","0.00","0","0","-","0.00","-","0.00","19.46","19.46","0","272.43","100.00","19.46","19.46","19.46","50.00"
