"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"428","Noel Acciari","PIT","C","55","713.51666666667","4","3","1","2","7","38.89","60","6.67","6.77","101","79","67","35","1","8","10","5","5","0","0","8","8","26","113","51","85","313","261","54.53"
"448","Ryan Lomberg","FLA","L","72","691.41666666667","5","2","2","0","7","36.84","66","7.58","7.88","133","101","58","29","7","14","76","23","18","2","3","18","14","13","151","52","20","5","12","29.41"
"469","Dillon Dube","CGY","C","43","480.05","3","4","1","3","7","46.67","42","7.14","5","77","58","42","22","1","8","8","4","4","0","0","6","10","5","31","44","18","26","23","53.06"
"503","Nikita Zaitsev","CHI","D","36","570.26666666667","2","5","3","2","7","33.33","30","6.67","1.01","87","50","16","1","3","7","12","6","6","0","0","2","16","10","52","45","69","0","0","-"
"518","Justin Brazeau","BOS","R","19","211.23333333333","5","2","1","1","7","58.33","32","15.63","4.49","47","44","30","23","5","6","2","1","1","0","0","2","3","3","43","21","12","3","7","30.00"
"574","Nick DeSimone","CGY, N.J","D","32","423.53333333333","2","5","1","4","7","38.89","27","7.41","0.89","65","36","17","2","3","11","2","1","1","0","0","1","12","2","21","45","40","0","0","-"
"620","Mattias Samuelsson","BUF","D","41","840.5","1","6","2","4","7","20.59","44","2.27","1.18","94","61","14","1","4","5","26","13","13","0","0","5","24","8","83","57","86","0","0","-"
"652","Ilya Lyubushkin","ANA, TOR","D","67","1142.2666666667","0","7","3","4","7","18.42","44","0.00","2.57","100","69","30","6","6","4","53","21","19","1","1","10","34","21","137","100","156","0","0","-"
"680","Kyle MacLean","NYI","C","25","248.08333333333","3","4","2","2","7","77.78","20","15.00","2.14","35","30","17","9","0","5","11","4","3","1","0","5","9","6","47","16","5","74","107","40.88"
"711","Ryan Johnson","BUF","D","41","568.55","0","7","4","3","7","31.82","35","0.00","1.47","86","56","21","6","5","3","12","6","6","0","0","2","12","13","7","64","39","0","0","-"
"792","Brendan Brisson","VGK","C","13","161.51666666667","2","5","2","3","7","63.64","19","10.53","1.99","46","34","23","6","1","4","2","1","1","0","0","1","3","5","12","23","3","2","3","40.00"
"807","Radim Zohorna","PIT","L","31","306.01666666667","4","3","2","1","7","63.64","38","10.53","4.76","66","51","46","24","3","7","16","7","7","0","0","5","7","13","34","23","5","4","5","44.44"
"816","Nils Aman","VAN","C","39","400.33333333333","3","4","3","1","7","63.64","23","13.04","2.97","37","32","31","22","3","7","8","4","4","0","0","3","4","6","20","40","22","63","77","45.00"
"821","Walker Duehr","CGY","R","36","284.98333333333","2","5","4","1","7","77.78","26","7.69","2.8","52","43","33","17","3","5","4","2","2","0","0","1","7","3","50","19","12","1","5","16.67"
"56","Luke Schenn","NSH","D","56","851.98333333333","1","5","3","2","6","18.75","73","1.37","2.14","172","99","43","4","5","7","34","11","7","4","0","6","39","12","178","76","65","0","0","-"
"63","Travis Hamonic","OTT","D","48","707.3","2","4","2","2","6","22.22","50","4.00","1.26","118","76","27","1","1","10","40","16","15","0","1","7","26","11","47","62","75","0","0","-"
"166","Joel Edmundson","TOR, WSH","D","51","847.25","1","5","2","3","6","19.35","46","2.17","2.15","121","71","30","4","3","12","21","9","8","1","0","6","35","9","64","50","60","0","0","-"
"254","Carson Soucy","VAN","D","32","560.4","2","4","2","2","6","24.00","21","9.52","1.65","64","39","14","2","0","3","10","5","5","0","0","8","8","4","35","40","50","0","0","-"
"283","Zach Sanford","ARI, CHI","L","29","314.26666666667","0","6","5","1","6","66.67","24","0.00","3.47","54","39","42","19","5","5","6","3","3","0","0","3","6","16","19","30","19","42","77","35.29"
"313","Pierre-Edouard Bellemare","SEA","L","36","349.9","4","2","1","1","6","50.00","30","13.33","2.98","62","45","30","14","2","7","6","3","3","0","0","4","7","17","17","27","21","157","141","52.68"
"323","Jakub Vrana","STL","L","21","254.65","2","4","2","2","6","66.67","42","4.76","3.18","66","51","32","10","3","2","8","4","4","0","0","1","3","4","7","3","4","0","13","0.00"
"353","Viktor Arvidsson","L.A","R","10","159.45","2","4","0","4","6","60.00","31","6.45","2.22","55","42","23","8","2","5","8","4","4","0","0","5","4","7","5","26","8","3","5","37.50"
"370","Dryden Hunt","CGY","L","22","240.4","3","3","3","0","6","50.00","28","10.71","2.89","49","39","23","13","0","5","0","0","0","0","0","6","7","11","45","20","5","2","2","50.00"
"382","Travis Dermott","ARI","D","47","814.53333333333","2","4","0","4","6","30.00","37","5.41","1.46","82","55","27","4","0","5","24","12","12","0","0","5","7","6","44","63","61","0","0","-"
"502","Troy Stecher","ARI, EDM","D","51","926.71666666667","1","5","3","2","6","17.14","49","2.04","3.53","148","79","46","10","5","12","28","14","14","0","0","8","21","11","61","76","76","0","0","-"
"573","Filip Chytil","NYR","C","10","159.3","0","6","4","2","6","66.67","22","0.00","1.89","40","33","18","7","0","2","4","2","2","0","0","1","2","3","4","13","4","29","38","43.28"
"611","Oliver Wahlstrom","NYI","R","31","337.48333333333","2","4","3","1","6","50.00","39","5.13","3.15","80","52","39","12","2","8","8","4","4","0","0","5","9","8","27","28","21","5","7","41.67"
"654","Declan Chisholm","MIN, WPG","D","23","392.51666666667","1","5","4","1","6","37.50","23","4.35","1.51","54","36","15","6","1","3","18","5","4","0","1","0","8","3","11","25","31","0","0","-"
"657","Jonatan Berggren","DET","R","12","130.33333333333","2","4","1","3","6","66.67","14","14.29","1.07","23","20","10","4","0","2","2","1","1","0","0","5","0","3","2","8","7","0","0","-"
"712","Henry Thrun","S.J","D","43","850.05","2","4","1","3","6","22.22","44","4.55","1.89","104","65","26","6","4","11","14","7","7","0","0","3","23","15","20","50","57","0","0","-"
"801","Wyatt Kaiser","CHI","D","30","515.58333333333","0","6","1","5","6","30.00","17","0.00","0.59","50","25","17","1","2","7","22","11","11","0","0","6","22","7","20","36","42","0","0","-"
"803","Isaak Phillips","CHI","D","33","563.41666666667","0","6","3","3","6","50.00","31","0.00","1.63","84","55","21","5","3","7","22","6","5","0","1","3","21","14","51","40","36","0","0","-"
"828","Matt Coronato","CGY","R","25","324.16666666667","2","4","3","1","6","42.86","47","4.26","5.3","90","75","44","18","2","9","4","2","2","0","0","4","10","8","4","34","5","4","12","25.00"
"836","Brandt Clarke","L.A","D","16","218.41666666667","2","4","3","1","6","66.67","31","6.45","1.72","54","40","19","5","0","7","10","5","5","0","0","4","2","1","6","16","21","0","0","-"
"867","Ivan Miroshnichenko","WSH","L","18","221.86666666667","2","4","1","3","6","66.67","27","7.41","4.68","69","54","41","20","0","10","6","3","3","0","0","2","7","6","45","19","4","0","1","0.00"
"15","Marc Staal","PHI","D","33","454.36666666667","1","4","2","2","5","27.78","18","5.56","1.02","55","34","15","2","0","5","14","7","7","0","0","3","9","4","29","25","39","0","0","-"
"20","Ryan Reaves","TOR","R","43","348.81666666667","3","2","2","0","5","55.56","21","14.29","3.3","50","37","30","19","3","5","39","12","7","5","0","10","8","8","125","41","15","1","0","100.00"
"34","Nick Bonino","NYR","C","45","551.43333333333","1","4","3","1","5","62.50","31","3.23","3.44","65","48","35","13","1","8","8","4","4","0","0","3","5","12","7","19","78","207","199","50.99"
"70","Jared Spurgeon","MIN","D","16","370.68333333333","0","5","1","4","5","26.32","21","0.00","1.09","54","29","22","4","2","4","2","1","1","0","0","1","1","3","12","20","28","0","0","-"
"112","Justin Holl","DET","D","38","573.11666666667","0","5","2","3","5","17.24","14","0.00","0.73","47","27","11","0","1","2","22","11","11","0","0","2","18","7","47","55","39","0","0","-"
