"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"795","Tyson Foerster","PHI","R","71","1033.9333333333","14","9","3","6","23","45.10","113","12.39","11.15","224","164","126","56","8","11","32","16","16","0","0","19","9","27","69","67","45","1","1","50.00"
"825","Matty Beniers","SEA","C","69","1056.3166666667","9","14","12","2","23","57.50","100","9.00","9.86","192","140","108","53","10","19","16","8","8","0","0","15","25","38","40","95","36","409","476","46.21"
"66","TJ Brodie","TOR","D","71","1346.35","0","22","10","12","22","30.14","44","0.00","2.4","107","62","23","4","1","11","34","13","12","0","1","10","41","17","32","141","121","0","0","-"
"69","Cam Atkinson","PHI","R","65","829.43333333333","11","11","4","7","22","73.33","134","8.21","12.25","225","173","122","63","9","23","21","9","8","1","0","12","14","12","23","25","34","7","8","46.67"
"86","Nick Leddy","STL","D","75","1468.8833333333","2","20","9","11","22","35.48","65","3.08","2.89","148","100","53","8","2","13","14","7","7","0","0","11","32","27","37","29","101","0","0","-"
"113","Jason Zucker","ARI, NSH","L","62","761.03333333333","9","13","9","4","22","68.75","110","8.18","12.4","213","172","121","56","13","26","63","19","14","3","2","20","31","21","72","48","16","13","19","40.63"
"161","Jean-Gabriel Pageau","NYI","C","75","946.45","8","14","9","5","22","62.86","68","11.76","9.48","129","103","74","42","9","13","8","4","4","0","0","6","20","22","151","79","63","492","374","56.81"
"173","Ryan Strome","ANA","C","72","944.63333333333","9","13","5","8","22","61.11","94","9.57","9.34","163","129","92","45","9","14","68","24","19","4","1","11","29","23","45","33","19","152","176","46.34"
"214","Colton Parayko","STL","D","75","1551.8833333333","9","13","7","6","22","32.84","140","6.43","6.33","281","188","73","13","6","16","18","9","9","0","0","5","40","56","94","104","169","0","0","-"
"218","Shayne Gostisbehere","DET","D","74","1127.1333333333","8","14","7","7","22","50.00","80","10.00","4.05","178","113","60","9","2","13","12","6","6","0","0","20","25","14","23","30","59","0","0","-"
"229","Jake McCabe","TOR","D","67","1221.0833333333","6","16","8","8","22","32.35","61","9.84","3.17","158","90","53","8","4","15","50","22","20","2","0","13","43","15","166","166","98","0","0","-"
"265","Miles Wood","COL","L","70","855.48333333333","7","15","13","2","22","59.46","150","4.67","16.21","258","208","136","66","14","29","71","26","23","1","2","20","14","34","85","80","30","12","24","33.33"
"297","Alex Wennberg","NYR, SEA","C","72","1015.15","6","16","9","7","22","47.83","59","10.17","6.35","101","78","61","32","4","8","12","6","6","0","0","12","17","38","39","52","57","400","443","47.45"
"354","Sam Lafferty","VAN","C","71","794.35","11","11","4","7","22","66.67","66","16.67","9.77","126","97","83","52","8","10","32","12","11","0","1","14","16","15","146","100","28","126","167","43.00"
"445","Jalen Chatfield","CAR","D","66","942.58333333333","8","14","4","10","22","47.83","83","9.64","3.84","195","128","37","9","4","18","20","10","10","0","0","8","26","21","48","92","58","0","0","-"
"468","Jakob Chychrun","OTT","D","74","1455.2833333333","6","16","6","10","22","32.35","138","4.35","6.65","336","216","96","14","8","35","52","22","21","0","1","10","66","16","52","117","139","0","0","-"
"605","Pius Suter","VAN","C","60","762.18333333333","11","11","6","5","22","56.41","76","14.47","10.08","136","105","102","70","5","12","14","7","7","0","0","12","6","21","42","35","19","136","153","47.06"
"625","Jesperi Kotkaniemi","CAR","C","75","874.9","10","12","8","4","22","62.86","106","9.43","14.36","218","166","123","62","3","23","34","17","17","0","0","13","28","24","45","78","31","291","277","51.23"
"637","Jack McBain","ARI","C","59","632.1","8","14","9","5","22","59.46","47","17.02","8.89","102","74","69","42","3","13","41","16","13","3","0","15","12","9","146","74","27","220","263","45.55"
"678","Logan O'Connor","COL","R","57","715.1","10","12","7","5","22","62.86","77","12.99","10.69","160","119","97","49","7","12","32","13","11","2","0","9","11","26","47","58","29","10","7","58.82"
"763","Kaiden Guhle","MTL","D","69","1294.9333333333","6","16","7","9","22","38.60","92","6.52","4.21","180","123","51","9","3","12","40","20","20","0","0","8","38","21","96","126","144","0","0","-"
"773","Jake Sanderson","OTT","D","71","1226.6833333333","6","16","6","10","22","34.38","107","5.61","5.62","253","167","60","11","7","21","21","9","8","1","0","6","56","25","31","124","93","0","0","-"
"810","Bobby McMann","TOR","C","50","527.5","13","9","3","6","22","73.33","103","12.62","9.2","169","138","65","30","15","15","48","13","9","2","2","9","10","15","91","50","18","6","1","85.71"
"883","Andrei Kuzmenko","CGY, VAN","L","63","715.76666666667","10","12","8","4","22","62.86","65","15.38","8.72","149","108","96","52","4","19","10","4","4","0","0","14","17","23","6","61","14","1","0","100.00"
"4","Brent Burns","CAR","D","75","1254.5","5","16","8","8","21","30.00","127","3.94","4.91","414","216","103","12","8","43","18","9","9","0","0","4","43","29","26","31","71","0","0","-"
"51","Lars Eller","PIT","C","75","911.88333333333","9","12","5","7","21","61.76","110","8.18","11.33","222","165","113","40","4","17","28","12","12","0","0","15","24","31","42","80","33","354","314","52.99"
"88","Brayden McNabb","VGK","D","74","1243.9833333333","3","18","6","12","21","34.43","75","4.00","3.09","184","108","51","7","0","19","26","13","13","0","0","5","19","25","108","98","152","0","0","-"
"90","Tomas Tatar","COL, SEA","L","66","761.81666666667","8","13","4","9","21","58.33","63","12.70","9.58","143","106","101","52","4","12","18","9","9","0","0","13","16","17","35","51","20","3","11","21.43"
"119","Justin Faulk","STL","D","58","1089.2833333333","1","20","11","9","21","42.00","106","0.94","4.68","210","143","57","15","5","18","20","10","10","0","0","1","28","31","72","36","91","0","0","-"
"132","Erik Gudbranson","CBJ","D","71","1168.6666666667","5","16","5","11","21","51.22","73","6.85","1.87","188","108","36","1","4","16","72","22","16","4","2","17","17","11","69","72","106","0","0","-"
"150","Josh Manson","COL","D","69","1074.5166666667","6","15","8","7","21","39.62","105","5.71","5.02","264","155","79","18","4","23","74","27","22","4","1","16","37","28","149","72","78","0","0","-"
"206","Tom Wilson","WSH","R","66","921.13333333333","10","11","5","6","21","67.74","116","8.62","14.65","223","164","120","65","7","19","100","35","29","4","2","30","38","32","154","68","50","6","18","25.00"
"235","Erik Gustafsson","NYR","D","70","1098.6333333333","6","15","8","7","21","39.62","72","8.33","3.57","185","121","44","5","3","12","33","15","14","1","0","9","33","23","51","88","59","0","0","-"
"270","Michael McCarron","NSH","R","63","711.23333333333","11","10","6","4","21","60.00","77","14.29","11.02","147","124","103","62","6","14","81","22","13","7","2","19","15","14","119","75","46","301","254","54.23"
"349","Michael Amadio","VGK","R","67","828.5","10","11","5","6","21","53.85","93","10.75","9.71","146","117","90","48","6","10","12","6","6","0","0","12","20","30","30","99","32","66","62","51.56"
"367","Jake Middleton","MIN","D","72","1263.15","7","14","8","6","21","39.62","79","8.86","5.06","175","108","58","17","2","19","77","27","20","7","0","20","16","15","116","53","114","0","0","-"
"384","Jordan Greenway","BUF","L","62","839.8","8","13","7","6","21","45.65","88","9.09","8.75","169","128","88","41","2","12","49","19","17","1","1","7","18","17","109","39","46","12","27","30.77"
"412","Thomas Chabot","OTT","D","44","887.48333333333","7","14","7","7","21","37.50","79","8.86","3.8","179","107","46","9","3","8","18","9","9","0","0","10","28","19","30","72","74","0","0","-"
"440","Vladislav Gavrikov","L.A","D","69","1238.8","6","15","5","10","21","35.00","99","6.06","4.32","191","123","57","14","7","14","28","10","9","0","1","7","34","11","42","46","78","0","0","-"
"524","Justin Danforth","CBJ","R","64","789.63333333333","10","11","4","7","21","56.76","69","14.49","11.79","142","116","96","62","5","14","20","6","5","0","1","9","10","20","83","56","39","116","102","53.21"
"577","Neal Pionk","WPG","D","75","1301.8833333333","4","17","6","11","21","35.00","112","3.57","4.6","245","172","47","7","6","18","51","24","23","1","0","16","44","28","159","124","83","0","0","-"
"602","Sean Durzi","ARI","D","68","1240.0666666667","5","16","7","9","21","32.81","93","5.38","4.44","221","136","82","21","3","24","42","21","21","0","0","14","50","16","36","87","130","0","0","-"
"701","Moritz Seider","DET","D","75","1291.85","5","16","8","8","21","32.31","93","5.38","4.42","204","136","53","5","6","17","43","20","19","1","0","14","27","33","125","53","142","0","0","-"
"718","Nicholas Robertson","TOR","L","50","526","11","10","5","5","21","77.78","78","14.10","6.83","134","105","66","22","10","10","4","2","2","0","0","5","18","25","28","53","24","2","4","33.33"
"766","Ridly Greig","OTT","C","64","786.6","9","12","9","3","21","45.65","74","12.16","10.21","135","103","84","43","3","15","49","23","22","1","0","16","16","17","95","93","30","164","200","45.05"
"822","J.J. Moser","ARI","D","72","1250.15","5","16","8","8","21","36.84","64","7.81","3.74","158","91","70","16","7","10","25","11","10","1","0","10","28","15","75","130","82","0","0","-"
"826","William Eklund","S.J","L","72","1087.35","6","15","7","8","21","58.33","80","7.50","10.17","162","125","97","50","6","22","22","11","11","0","0","16","19","17","23","38","63","63","141","30.88"
"10","Blake Wheeler","NYR","R","54","632.45","8","12","4","8","20","64.52","72","11.11","7.34","128","101","63","26","3","5","23","10","9","1","0","4","21","15","23","31","31","22","13","62.86"
"22","Nick Foligno","CHI","L","68","945.16666666667","8","12","5","7","20","50.00","99","8.08","11.69","152","124","99","56","6","16","42","18","16","2","0","12","17","35","152","33","31","119","106","52.89"
"46","Evgenii Dadonov","DAL","R","50","614.18333333333","10","10","3","7","20","71.43","63","15.87","7.93","138","110","77","38","5","15","6","3","3","0","0","4","13","18","21","26","19","0","4","0.00"
"92","Dmitry Orlov","CAR","D","75","1179.9","5","15","4","11","20","39.22","104","4.81","5.25","266","162","84","11","7","14","36","14","13","0","1","20","33","23","86","59","51","0","0","-"
"95","Marcus Foligno","MIN","L","55","651.45","9","11","7","4","20","71.43","46","19.57","6.5","95","71","64","35","3","6","57","18","11","7","0","17","16","24","148","37","30","6","7","46.15"
"194","Hampus Lindholm","BOS","D","67","1298.1333333333","1","19","5","14","20","31.75","73","1.37","3.93","177","106","63","12","3","20","43","19","18","1","0","13","38","22","35","131","76","0","0","-"
"205","Cody Ceci","EDM","D","72","1247.4","3","17","7","10","20","37.04","85","3.53","4.34","180","115","53","11","2","19","14","7","7","0","0","3","16","18","62","150","79","0","0","-"
"210","Jacob Trouba","NYR","D","62","1139.0333333333","3","17","8","9","20","39.22","112","2.68","5.07","235","139","73","12","10","28","52","19","16","2","1","11","27","7","138","56","139","0","0","-"
"288","Seth Jones","CHI","D","60","1201.2166666667","4","16","10","6","20","41.67","114","3.51","5.54","248","159","73","8","8","27","24","12","12","0","0","6","43","28","53","68","98","0","0","-"
"330","Robby Fabbri","DET","C","61","648.53333333333","13","7","3","4","20","71.43","67","19.40","10.26","121","97","82","47","4","8","20","6","5","0","1","7","16","16","47","53","25","25","27","48.08"
"581","Eetu Luostarinen","FLA","C","76","959.7","10","10","6","4","20","57.14","88","11.36","12.89","184","141","99","51","3","16","18","9","9","0","0","20","18","31","83","120","34","83","72","53.55"
"621","Joe Veleno","DET","C","73","909.46666666667","8","12","5","7","20","62.50","69","11.59","8.23","141","109","75","37","2","14","18","8","8","0","0","13","12","21","75","67","28","242","267","47.54"
"628","Jack Drury","CAR","C","67","730.23333333333","6","14","7","7","20","62.50","76","7.89","7.91","162","121","82","35","4","11","21","9","8","1","0","11","13","18","18","82","29","293","245","54.46"
"703","Cam York","PHI","D","76","1361.1166666667","9","11","3","8","20","35.09","93","9.68","6.36","211","138","69","20","8","16","42","20","20","0","0","10","25","10","53","135","131","0","0","-"
"723","Shane Pinto","OTT","C","33","493.35","5","15","7","8","20","68.97","71","7.04","9","117","99","76","45","5","9","6","3","3","0","0","4","12","16","26","34","26","200","183","52.22"
"733","Alex Newhook","MTL","C","47","640.65","10","10","5","5","20","71.43","52","19.23","6.88","115","83","75","36","4","8","10","5","5","0","0","8","23","16","29","49","22","155","177","46.69"
"755","Cole Smith","NSH","L","74","852.38333333333","8","12","6","6","20","57.14","86","9.30","12.37","159","122","110","67","6","13","63","20","14","5","1","17","19","22","191","111","18","4","9","30.77"
"866","Pavel Mintyukov","ANA","D","63","1001.85","4","16","6","10","20","50.00","73","5.48","4.28","135","92","43","15","2","18","20","9","9","0","0","13","16","16","68","46","56","0","0","-"
"27","Cal Clutterbuck","NYI","R","75","757.28333333333","7","12","8","4","19","67.86","49","14.29","6.12","90","74","58","27","7","10","18","9","9","0","0","10","18","22","210","51","44","11","19","36.67"
