"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"825","Jakob Pelletier","CGY","L","24","286.61666666667","11.942361111111","73.69","45.22","61.97","52.54","33.49","61.07","36.42","23.86","60.42","1.67","2.72","38.10","3.36","2.58","56.62","40.19","24.49","62.14","14.86","11.3","56.80","1.05","1.26","45.45","33.77","17.58","65.76","0.56","1.67","25.00","38.7","25.4","60.38","0.3","0","100.00","4.60","88.60","0.932","12.56","11.09","5.65","56.52","68.97","24.91","18.21","12.98","65.75"
"355","Joel Hanley","DAL","D","26","300.91666666667","11.573717948718","48.45","44.86","51.92","36.09","32.9","52.31","25.52","22.13","53.56","2.59","1.6","61.90","2.19","1.76","55.43","24.53","21.33","53.48","10.57","6.78","60.92","2.19","1","68.75","18.61","19.41","48.95","0","0.53","0.00","28.22","27.65","50.52","0.58","0.29","66.67","10.16","92.79","1.029","5.78","12.16","5.98","63.21","49.15","12.96","19.34","15.95","44.83"
"633","Jonas Rondbjerg","VGK","R","13","124.2","9.5538461538462","51.21","44.44","53.54","36.23","32.37","52.82","26.09","24.64","51.43","0.48","2.9","14.29","1.55","1.49","50.90","23.67","14.49","62.03","6.76","6.28","51.85","0","1.93","0.00","22.54","10.95","67.31","0.64","0.64","50.00","27.91","34.89","44.44","0","0.7","0.00","1.85","88.24","0.901","6.28","15.46","5.31","61.84","54.17","9.66","21.26","11.11","46.51"
"265","Jordan Martinook","CAR","L","82","1108","13.512195121951","66.01","43.7","60.17","49.44","33.52","59.60","32.6","24.96","56.63","2.92","2.65","52.43","3.27","2.28","58.91","32.44","21.28","60.38","15.54","10.23","60.29","1.84","1.41","56.67","22.53","14.73","60.47","1.01","1.08","48.28","42.08","26.2","61.63","0.31","0.47","40.00","8.97","89.37","0.983","11.48","17","9.21","40.18","55.50","21.28","22.31","19.82","51.78"
"593","Matthew Phillips","CGY","C","2","12.383333333333","6.1916666666667","38.76","43.61","47.06","29.07","33.92","46.15","29.07","24.23","54.55","0","0","-","1.22","0.96","55.84","14.54","14.54","50.00","4.85","4.85","50.00","0","0","-","12.92","12.92","50.00","0","0","-","34.99","27.99","55.56","0","0","-","0.00","100.00","1.000","9.69","9.69","4.85","62.99","66.67","9.69","19.38","19.38","33.33"
"295","MacKenzie Weegar","CGY","D","81","1491.35","18.411728395062","68.03","43.25","61.14","49.49","31.74","60.92","35.24","21.64","61.95","2.66","2.09","55.93","3.1","2.13","59.27","31.9","22.97","58.14","11.67","9.94","54.00","1.37","1.21","53.13","26.98","17.38","60.82","1.07","0.8","57.14","44.92","24.41","64.79","0.58","0.41","58.82","7.53","90.33","0.979","8.17","14.81","9.98","54.92","45.01","23.46","22.01","18.31","56.17"
"173","Jesper Fast","CAR","R","80","1041.2","13.015","63.85","43.16","59.67","47.54","32.73","59.22","30.95","23.45","56.89","2.59","2.31","52.94","3.12","2.22","58.37","31.12","20.92","59.80","15.16","10.14","59.91","1.56","1.38","52.94","21.28","14.37","59.70","0.92","0.69","57.14","42.03","27.05","60.84","0.33","0.42","44.44","8.38","90.17","0.986","12.33","18.04","9.85","39.53","55.58","21.67","22.99","20.75","51.09"
"800","Alex Turcotte","L.A","C","4","27.866666666667","6.9666666666667","51.67","43.06","54.55","40.91","30.14","57.58","27.99","25.84","52.00","0","4.31","0.00","2.15","2.21","49.39","17.22","21.53","44.44","8.61","6.46","57.14","0","2.15","0.00","11.48","20.1","36.36","0","2.87","0.00","55.98","27.99","66.67","0","0","-","0.00","83.33","0.833","10.77","15.07","4.31","62.44","71.43","17.22","19.38","10.77","61.54"
"565","Dennis Cholowski","NYI","D","2","20.966666666667","10.483333333333","74.4","42.93","63.41","45.79","37.2","55.17","25.76","25.76","50.00","2.86","5.72","33.33","3.25","2.9","52.82","37.2","20.03","65.00","11.45","11.45","50.00","2.86","2.86","50.00","34.34","11.45","75.00","0","0","-","41.34","28.93","58.82","0","4.13","0.00","11.11","77.78","0.889","14.31","17.17","2.86","45.79","83.33","25.76","20.03","2.86","90.00"
"725","Jesperi Kotkaniemi","CAR","C","82","1044.6","12.739024390244","64.79","42.73","60.26","47.56","32.4","59.48","31.76","22.63","58.39","2.58","1.9","57.69","2.85","2.12","57.36","29.93","20.56","59.27","12.87","9.82","56.71","1.67","0.92","64.44","22.75","14.32","61.36","0.69","0.84","45.00","43.81","25.72","63.01","0.41","0.5","45.45","8.14","91.62","0.998","13.04","11.43","5.11","44.28","71.84","23.03","17.29","14.24","61.79"
"576","Alex Nylander","PIT","L","9","110.05","12.227777777778","71.97","42.53","62.86","50.7","29.44","63.27","38.71","22.9","62.83","2.73","2.18","55.56","3.53","1.84","65.76","35.44","20.17","63.73","18.54","10.9","62.96","2.18","1.64","57.14","22.54","12.36","64.58","0","0","-","40.95","29.14","58.43","0.79","0.79","50.00","7.04","90.48","0.975","11.99","8.18","4.36","56.7","73.33","19.08","15.27","9.27","67.31"
"109","Calvin de Haan","CAR","D","53","688.03333333333","12.981761006289","63.4","42.47","59.88","47.61","31.22","60.40","31.05","22.15","58.36","2.62","2.09","55.56","2.96","2.1","58.54","31.05","21.02","59.63","12.73","9.77","56.59","1.05","1.05","50.00","24.42","15","61.95","1.51","0.93","61.90","41.32","24.94","62.36","0.63","0.38","62.50","8.43","90.55","0.990","8.72","13.52","6.8","47.96","56.18","19.71","20.23","15.87","55.39"
