"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","xGF/60","xGA/60","xGF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"722","Dylan Cozens","BUF","C","81","101.43333333333","1.2522633744856","18.93","124.22","13.22","17.15","105.88","13.94","13.6","79.26","14.65","2.37","11.24","17.39","2.14","10.56","16.84","11.24","75.71","12.93","6.51","37.27","14.86","1.77","7.69","18.75","6.31","51.27","10.96","0","2.37","0.00","5.13","72.63","6.59","0","2.56","0.00","17.39","85.82","1.032","2.37","7.69","47.32","39.04","4.76","2.96","8.87","66.25","4.27"
"210","Joel Armia","MTL","R","43","87.316666666667","2.0306201550388","7.56","123.69","5.76","6.18","90.02","6.43","6.18","60.47","9.28","1.37","10.99","11.11","0.22","9.51","2.27","2.75","72.84","3.64","1.37","33.67","3.92","0.69","7.56","8.33","1.83","52.22","3.39","0.92","3.66","20.00","0","74.44","0.00","0","0.99","0.00","22.22","81.82","1.040","1.37","4.81","35.73","42.6","3.70","2.06","6.87","48.79","4.05"
"106","Dmitry Kulikov","ANA, PIT","D","67","200.08333333333","2.9863184079602","13.49","123.55","9.85","12","100.46","10.67","10.2","73.77","12.14","0","10.8","0.00","0.48","11.03","4.16","3.9","79.47","4.68","2.4","34.49","6.50","0","5.1","0.00","2","59.98","3.23","0","4","0.00","4.33","71.04","5.75","0","3.9","0.00","0.00","85.37","0.854","0","7.8","44.68","15.29","0.00","1.2","11.4","74.97","1.57"
"400","Jake Evans","MTL","C","54","151.7","2.8092592592593","13.05","123.01","9.59","10.28","88.6","10.40","8.7","62.1","12.29","0.79","8.7","8.33","0.62","8.49","6.84","5.54","67.63","7.57","1.98","25.31","7.25","0","4.35","0.00","4.75","56.43","7.76","1.05","3.16","25.00","3.43","82.27","4.00","0","2.86","0.00","9.09","85.99","0.951","0.4","8.7","43.51","28.08","0.90","2.37","10.28","63.68","3.59"
"501","Rasmus Asplund","BUF, NSH","C","46","32.683333333333","0.71050724637681","25.7","123","17.28","25.7","93.63","21.54","25.7","73.43","25.93","1.84","9.18","16.67","2.57","10.29","20.01","18.36","73.43","20.00","14.69","40.39","26.67","1.84","5.51","25.00","4.9","44.06","10.00","0","4.9","0.00","2.65","66.29","3.85","0","0","-","7.14","87.50","0.946","1.84","12.85","55.07","36.72","3.23","1.84","14.69","62.42","2.86"
"232","Scott Laughton","PHI","C","78","170.01666666667","2.1797008547009","18.7","122.81","13.22","16.94","90.34","15.79","14.47","63.88","18.47","2.47","7.06","25.93","1.43","9.84","12.71","10.23","73.76","12.18","6.35","34.23","15.65","2.47","3.88","38.89","5.18","52.7","8.94","0","2.35","0.00","5.1","79.52","6.02","0","2.04","0.00","17.07","88.95","1.060","1.06","7.41","46.58","30.7","2.22","1.41","10.59","66.7","2.07"
"820","Arber Xhekaj","MTL","D","51","13.683333333333","0.26830065359477","13.15","122.78","9.68","13.15","87.7","13.04","8.77","74.54","10.53","0","21.92","0.00","1.44","11.97","10.72","13.15","74.54","15.00","8.77","39.46","18.18","0","13.15","0.00","5.85","46.77","11.11","0","5.85","0.00","0","50.67","0.00","0","0","-","0.00","70.59","0.706","0","8.77","17.54","92.08","0.00","0","17.54","26.31","0.00"
"57","Robert Bortuzzo","STL","D","43","81.983333333333","1.9065891472868","13.17","122.22","9.73","12.44","95.14","11.56","11.71","66.6","14.95","0","10.98","0.00","0.75","10.03","6.96","7.32","75.38","8.85","3.66","35.86","9.26","0","4.39","0.00","4.88","52.69","8.47","0","4.88","0.00","4.23","69.77","5.71","0","4.23","0.00","0.00","83.52","0.835","0","4.39","51.96","35.13","0.00","0","5.12","67.33","0.00"
"671","Barrett Hayton","ARI","C","82","115.9","1.4134146341463","11.39","122.17","8.53","11.39","95.77","10.63","10.35","65.75","13.61","1.04","9.32","10.00","0.97","10.49","8.49","6.73","74.03","8.33","3.11","33.13","8.57","0","5.18","0.00","4.83","54.53","8.14","1.38","1.38","50.00","1.5","77.02","1.90","0","4.49","0.00","10.00","85.83","0.958","1.55","5.18","51.77","77.65","2.91","2.07","7.25","61.6","3.25"
"348","Frederick Gaudreau","MIN","C","82","172.23333333333","2.100406504065","12.19","121.93","9.09","11.5","88.83","11.46","8.71","66.54","11.57","2.09","7.32","22.22","1.11","8.69","11.28","5.92","64.8","8.37","2.79","24.39","10.26","1.05","3.14","25.00","4.18","53.88","7.20","0.93","4.64","16.67","4.03","89.57","4.30","0","1.01","0.00","24.00","89.01","1.130","0","5.57","62.01","6.97","0.00","0","10.45","86.74","0.00"
