"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"279","Chad Ruhwedel","PIT","D","47","85.066666666667","1.8099290780142","0","0","0","0","0","-","2.12","0.00","0.01","2.12","2.12","0","0","1.41","0","0","0","0","0","0","0.71","0.71","0","9.87","2.12","7.76","0","0","-"
"280","Anton Blidh","COL","L","14","0.066666666666667","0.0047619047619048","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"281","Dominik Kubalik","DET","L","81","4.4","0.054320987654321","0","0","0","0","0","-","13.64","0.00","3.07","13.64","13.64","13.64","13.64","13.64","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"282","Kyle Burroughs","VAN","D","48","84.75","1.765625","0","0","0","0","0","0.00","0.71","0.00","0","1.42","0.71","0.71","0","0","0","1.42","0.71","0.71","0","0","0","0.71","0","6.37","2.12","11.33","0","0.71","0.00"
"283","Andreas Johnsson","N.J, S.J","L","13","0.11666666666667","0.008974358974359","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"285","Tyler Motte","NYR, OTT","C, L","62","128.16666666667","2.0672043010753","0.47","0","0","0","0.47","100.00","3.28","14.29","0.5","6.09","4.21","3.28","1.4","1.4","0.47","0","0","0","0","0","1.87","1.4","4.68","0.47","1.4","4.21","4.21","4.68","22.18"
"286","Saku Maenalanen","WPG","R","64","89.183333333333","1.3934895833333","0","0","0","0","0","-","4.04","0.00","0.37","6.05","5.38","3.36","2.02","1.35","0","1.35","0.67","0.67","0","0","2.02","0","6.05","1.35","0.67","7.4","1.35","2.02","26.91"
"287","Tucker Poolman","VAN","D","3","3.2","1.0666666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"288","Connor Clifton","BOS","D","78","102.5","1.3141025641026","0.59","0","0","0","0.59","33.33","2.34","25.00","0.15","2.34","2.34","2.34","0.59","0","0","2.34","1.17","1.17","0","0","0.59","0.59","1.17","9.37","2.93","3.51","0","0","-"
"289","Carson Soucy","SEA","D","78","133.36666666667","1.7098290598291","0","0.45","0.45","0","0.45","33.33","0.45","0.00","0","0.9","0.45","0","0","0","0","0","0","0","0","0","0","0.9","1.35","7.65","3.15","7.65","0","0","-"
"290","Jonny Brodzinski","NYR","C","17","6.25","0.36764705882353","0","0","0","0","0","0.00","19.2","0.00","3.06","19.2","19.2","19.2","19.2","19.2","0","0","0","0","0","0","0","0","9.6","0","9.6","0","9.6","0","960.00"
"291","Josh Brown","ARI","D","68","189.36666666667","2.7848039215686","0","0","0","0","0","-","0.95","0.00","0","1.27","0.95","0","0","0","0","0","0","0","0","0","0.63","1.27","0.32","2.53","0.32","11.72","0","0","-"
"292","Hudson Fasching","NYI","R","49","1.0666666666667","0.021768707482993","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"293","Pavel Buchnevich","STL","L","63","110.06666666667","1.7470899470899","0","1.09","1.09","0","1.09","100.00","1.09","0.00","0.38","3.27","3.27","3.27","2.18","0","0.55","1.09","0.55","0.55","0","0","0.55","0.55","5.45","1.09","1.64","2.73","2.18","3.27","21.80"
"294","Jake Guentzel","PIT","L","78","3.1833333333333","0.040811965811966","0","0","0","0","0","-","0","-","0","18.85","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.85","0.00"
"295","Mattias Janmark","EDM","C","66","128.18333333333","1.9421717171717","1.4","0.47","0.47","0","1.87","57.14","3.28","42.86","0.49","5.15","5.15","3.28","2.81","0.47","0.47","0.94","0.47","0.47","0","0","0","1.4","3.28","0.94","2.81","5.62","0.47","2.81","6.69"
"296","Anthony Duclair","FLA","L","20","0.65","0.0325","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"297","Carter Verhaeghe","FLA","C","81","3.0166666666667","0.037242798353909","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"298","Oliver Bjorkstrand","SEA","R","81","1.5666666666667","0.019341563786008","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"299","Miles Wood","N.J","L","76","1.8666666666667","0.024561403508772","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","32.14","0","0","0","0","0","0","-"
"300","Nicholas Paul","T.B","L","80","113.85","1.423125","0.53","0","0","0","0.53","100.00","4.74","11.11","1.03","7.38","6.85","3.69","1.58","1.05","0","3.16","1.58","1.58","0","0","0.53","0.53","4.74","2.11","2.64","0.53","16.34","18.45","24.75"
"301","Andrew Copp","DET","C","82","202.15","2.465243902439","0.3","0","0","0","0.3","50.00","4.45","6.67","0.38","5.34","4.75","2.37","0.59","1.48","0","0.59","0.3","0.3","0","0","0.3","0.89","2.08","0","0.59","3.56","29.68","35.02","13.62"
"302","Ben Harpur","NYR","D","42","9.4","0.22380952380952","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"304","Andre Burakovsky","SEA","L","49","0.23333333333333","0.0047619047619048","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"306","Shea Theodore","VGK","D","55","1.4","0.025454545454545","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"307","Jason Dickinson","CHI","C","78","150.65","1.9314102564103","0","1.59","1.59","0","1.59","66.67","2.79","0.00","0.25","3.19","2.79","1.99","0.8","0.4","0","0.8","0.4","0.4","0","0","0","1.99","4.38","1.99","0.8","6.37","20.31","25.89","17.51"
"308","Ryan Hartman","MIN","R","59","45.916666666667","0.77824858757062","2.61","2.61","2.61","0","5.23","80.00","10.45","25.00","0.65","10.45","10.45","3.92","2.61","1.31","0","2.61","1.31","1.31","0","0","0","1.31","9.15","2.61","0","1.31","24.83","24.83","65.34"
