"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"443","Jordan Greenway","BUF, MIN","L","62","785.5","12.66935483871","0.46","0.38","0.15","0.23","0.84","36.67","6.87","6.67","0.81","13.37","9.85","7.71","3.97","0.31","1.68","1.83","0.92","0.92","0","0","0.84","0.92","0.84","7.94","4.2","2.37","0.15","0.84","1.18"
"482","Jake DeBrusk","BOS","L","64","799.73333333333","12.495833333333","1.58","1.05","0.83","0.23","2.63","64.81","10.05","15.67","1.1","16.58","12.98","10.43","5.85","1.2","1.65","0.75","0.38","0.38","0","0","0.83","0.83","1.58","5.78","5.4","1.28","0.3","0.68","2.31"
"493","Derek Ryan","EDM","C","80","786.31666666667","9.8289583333333","0.84","0.46","0.23","0.23","1.3","54.84","6.49","12.94","0.77","10.76","8.7","7.55","4.88","0.61","1.3","1.68","0.84","0.84","0","0","0.61","1.14","2.44","3.89","7.17","2.75","13.35","13.12","3.85"
"582","Rem Pitlick","MTL","C","46","529.95","11.520652173913","0.57","0.91","0.68","0.23","1.47","76.47","3.28","17.24","0.49","6.11","5.43","4.76","2.26","0.45","0.34","2.26","1.13","1.13","0","0","1.13","3.17","1.25","2.38","2.94","1.92","2.72","3.62","4.85"
"620","Mario Ferraro","S.J","D","72","1302.1166666667","18.084953703704","0.18","0.28","0.05","0.23","0.46","20.83","2.81","6.56","0.25","6.36","4.15","1.84","0.55","0.14","0.46","1.11","0.55","0.55","0","0","0.37","1.2","1.75","5.21","6.73","1.11","0","0.05","0.00"
"677","Jacob Bryson","BUF","D","59","799.61666666667","13.552824858757","0.08","0.53","0.3","0.23","0.6","28.57","2.03","3.70","0.08","4.28","3","0.98","0","0","0.3","0.6","0.3","0.3","0","0","0.23","0.6","0.9","2.55","6.75","3.75","0","0","-"
"696","Mark Kastelic","OTT","C","65","529.15","8.1407692307692","0.79","0.45","0.23","0.23","1.25","64.71","7.94","10.00","0.88","12.59","10.66","7.94","4.76","0.45","0.91","11.57","2.61","1.25","0.91","0.45","1.59","1.47","1.93","17.12","6.69","3.17","31.52","22.68","6.59"
"718","Mattias Samuelsson","BUF","D","55","1057.6666666667","19.230303030303","0.11","0.4","0.17","0.23","0.51","14.06","4.14","2.74","0.21","7.66","5.67","1.76","0.45","0.06","0.74","0.91","0.45","0.45","0","0","0.17","0.91","1.13","4.99","5.45","3.12","0","0","-"
"807","Nikita Alexandrov","STL","C","28","264.78333333333","9.4565476190476","0.68","0.91","0.68","0.23","1.59","87.50","6.12","11.11","0.88","9.06","8.61","6.12","4.31","0.45","0.45","1.81","0.68","0.68","0","0","2.27","0.91","0.68","6.34","6.34","2.49","11.78","21.3","8.07"
"54","Brendan Smith","N.J","D","60","835.58333333333","13.926388888889","0","0.29","0.07","0.22","0.29","13.33","4.02","0.00","0.25","9.05","5.74","3.59","0.72","0.36","0.86","4.52","1.94","1.72","0.22","0","1.01","2.15","1.15","7.04","6.25","0.43","0","0","-"
"389","Andreas Englund","CHI, COL","D","47","535.5","11.393617021277","0","0.45","0.22","0.22","0.45","25.00","3.47","0.00","0.14","8.07","5.83","1.46","0.45","0.22","0.67","3.36","1.01","0.56","0.45","0","1.12","0.9","0.9","14.34","8.63","2.91","0","0","-"
"425","Darren Raddysh","T.B","D","17","270.63333333333","15.919607843137","0.22","0.44","0.22","0.22","0.67","23.08","5.32","4.17","0.23","10.2","6.65","3.33","0.22","0.22","1.11","0.89","0.44","0.44","0","0","0.22","2","0.67","5.32","4.88","0.22","0","0","-"
"450","Sebastian Aho","CAR","C","75","1087.35","14.498","1.43","1.21","0.99","0.22","2.65","72.73","8.94","16.05","1.21","15.17","12.69","9.71","6.01","0.61","1.27","2.21","1.1","1.1","0","0","1.49","2.48","2.7","2.76","4.08","0.72","21.02","22.4","2.67"
"555","Josh Mahura","FLA","D","82","1103.6833333333","13.459552845528","0.22","0.65","0.43","0.22","0.87","30.19","4.24","5.13","0.21","10.49","6.41","2.77","0.38","0.16","0.49","2.61","0.87","0.76","0","0.11","0.54","1.36","0.6","5.33","7.77","3.32","0","0","-"
"597","Casey Fitzgerald","BUF, FLA","D","27","278.53333333333","10.316049382716","0","0.65","0.43","0.22","0.65","27.27","2.37","0.00","0.15","8.4","4.52","2.15","0.43","0.22","0.86","0.86","0.43","0.43","0","0","0.86","0.22","0.43","7.11","7.11","1.51","0","0","-"
