"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"410","Kyle Connor","WPG","L","82","301.83333333333","3.6808943089431","1.59","4.17","2.58","1.59","5.76","63.04","17.1","9.30","1.85","32.6","23.85","16.1","3.18","0.6","3.18","0.4","0.2","0.2","0","0","0.2","1.99","0.4","0","1.59","0","0","0","-"
"532","Pierre-Luc Dubois","WPG","L","73","264.7","3.6260273972603","2.49","2.72","1.13","1.59","5.21","60.53","17.23","14.47","3.15","25.16","21.31","19.04","11.79","0","3.4","2.95","1.13","0.91","0.23","0","1.13","0.68","0.68","0.23","4.08","0.23","16.09","14.51","11.92"
"802","Justin Barron","MTL","D","39","37.8","0.96923076923077","1.59","1.59","0","1.59","3.17","200.00","6.35","25.00","0.38","19.05","11.11","0","0","0","1.59","0","0","0","0","0","0","0","1.59","0","0","0","0","0","-"
"550","Brandon Hagel","T.B","L","81","190.51666666667","2.3520576131687","2.2","1.89","0.31","1.57","4.09","50.00","7.24","30.43","1.49","11.34","9.45","10.71","7.24","0.31","0.63","1.26","0.63","0.63","0","0","0","1.57","0.63","3.15","6.61","0","0.63","0.31","21.00"
"382","Michael Amadio","VGK","C, R","67","38.45","0.57388059701493","1.56","1.56","0","1.56","3.12","40.00","10.92","14.29","1.57","17.17","12.48","10.92","4.68","0","3.12","0","0","0","0","0","0","3.12","0","0","1.56","0","1.56","0","156.05"
"746","Matt Boldy","MIN","L","81","307.46666666667","3.7958847736626","1.56","3.51","1.95","1.56","5.07","53.06","14.83","10.53","2.05","27.52","21.47","15.61","4.49","0.2","2.54","0","0","0","0","0","0.2","1.37","0.2","0.2","2.73","0.2","3.51","3.71","9.49"
"39","Nicklas Backstrom","WSH","C","39","117.25","3.0064102564103","3.07","2.56","1.02","1.54","5.63","57.89","10.23","30.00","1.34","18.42","12.79","12.28","4.61","0","0.51","1.02","0.51","0.51","0","0","0","2.05","0","0.51","1.02","0","6.14","7.68","22.74"
"282","MacKenzie Weegar","CGY","D","81","77.916666666667","0.9619341563786","0","2.31","0.77","1.54","2.31","75.00","6.16","0.00","0.45","13.09","6.93","5.39","1.54","0.77","2.31","1.54","0.77","0.77","0","0","0.77","1.54","0","2.31","0.77","0.77","0","0","-"
"322","Seth Jones","CHI","D","72","235.1","3.2652777777778","0.51","2.55","1.02","1.53","3.06","42.86","11.99","4.26","0.97","20.42","16.33","5.87","1.28","0.26","2.04","2.04","0.77","0.77","0","0","0.51","2.81","0","1.53","1.79","1.28","0","0","-"
"12","Blake Wheeler","WPG","R","72","198","2.75","2.12","2.42","0.91","1.52","4.55","65.22","7.27","29.17","1.61","14.24","12.42","10","6.67","0","1.21","1.21","0.61","0.61","0","0","0.3","1.52","0.3","1.52","3.33","0.3","2.12","2.73","13.26"
