"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","ixG/60","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"519","Matthew Tkachuk","FLA","L","79","1614.4333333333","20.435864978903","1.49","2.56","1.45","1.11","4.05","69.43","12","12.38","1.69","19.96","15.76","13.3","7.47","0.56","2.49","4.57","1.38","1.08","0.11","0.19","1.45","2.3","1.41","2.53","2.34","0.89","0.48","0.59","1.67"
"588","Joona Koppanen","BOS","L","5","54.133333333333","10.826666666667","0","1.11","0","1.11","1.11","100.00","2.22","0.00","0.14","4.43","2.22","4.43","2.22","0","0","4.43","2.22","2.22","0","0","0","3.33","4.43","8.87","3.33","1.11","27.71","21.06","62.98"
"822","Nicholas Robertson","TOR","L","15","163.26666666667","10.884444444444","0.73","1.1","0","1.1","1.84","71.43","9.92","7.41","1","17.64","13.23","9.19","4.04","1.47","0.37","0","0","0","0","0","1.1","1.84","2.57","6.61","4.78","2.57","0.73","0.37","24.50"
"491","Artemi Panarin","NYR","L","82","1607.8333333333","19.607723577236","1.08","2.35","1.27","1.08","3.43","74.80","7.61","14.22","0.78","16.05","11.42","8.21","1.79","0.34","1.23","1.34","0.67","0.67","0","0","0.6","3.81","1.34","0.97","1.64","0.34","0.22","0.49","1.18"
"887","Wyatt Kaiser","CHI","D","9","167.41666666667","18.601851851852","0","1.08","0","1.08","1.08","60.00","5.02","0.00","0.39","9.68","7.17","5.02","1.43","0.72","1.43","1.43","0.72","0.72","0","0","0.36","4.66","0","1.79","3.58","3.23","0","0","-"
"44","Jamie Benn","DAL","L","82","1294.25","15.783536585366","1.53","2.09","1.02","1.07","3.62","63.93","8.81","17.37","1.21","15.3","11.68","9.78","4.87","0.28","1.34","1.58","0.65","0.56","0.09","0","0.97","2.23","2.55","4.5","2.87","1.48","24.11","15.99","2.79"
"8","Joe Pavelski","DAL","C","82","1453.2666666667","17.722764227642","1.16","2.02","0.99","1.03","3.18","55.00","7.64","15.14","1.16","13.95","10.86","10.49","6.28","0.25","1.86","0.33","0.17","0.17","0","0","1.03","2.35","1.32","3.84","2.52","2.15","15.19","13.25","2.21"
"62","Jakub Voracek","CBJ","R","11","175.55","15.959090909091","0.34","1.71","0.68","1.03","2.05","75.00","5.81","5.88","0.54","9.23","7.18","5.13","1.37","0.68","0.68","0","0","0","0","0","0.34","0.34","1.37","0.68","1.03","1.71","0.34","0.68","11.39"
"334","Nathan MacKinnon","COL","C","71","1584.5333333333","22.317370892019","1.59","2.61","1.59","1.02","4.2","76.03","13.86","11.48","1.22","23.82","18.18","12.46","3.75","0.61","1.36","1.14","0.57","0.57","0","0","1.25","1.78","1.63","2.01","2.76","1.25","19.65","24.58","1.68"
"478","Mitchell Marner","TOR","R","80","1702.1","21.27625","1.06","2.43","1.41","1.02","3.49","74.44","6.91","15.31","0.7","14.17","9.24","7.05","2.19","0.42","1.16","0.99","0.49","0.49","0","0","0.74","3.31","3.67","1.87","4.12","1.45","0","0.14","0.00"
